B100001111	BEZ_AIAAOSW_8_C8N3AACXX.IND8
A100001026	BEZ_AEAAOSW_5_C8P5JACXX.IND11
A100001026	BEZ_AEAAOSW_6_C8P5JACXX.IND11
A100001026	BEZ_AEAAOSW_7_C8P5JACXX.IND11
A100001026	BEZ_AEAAOSW_8_C8P5JACXX.IND11
B100000593	BEZ_AIFAOSW_5_C8P5JACXX.IND1
B100000593	BEZ_AIFAOSW_6_C8P5JACXX.IND1
B100000593	BEZ_AIFAOSW_7_C8P5JACXX.IND1
B100000593	BEZ_AIFAOSW_8_C8P5JACXX.IND1
B100001230	BEZ_AIHAOSW_5_C8P5JACXX.IND2
B100001230	BEZ_AIHAOSW_6_C8P5JACXX.IND2
B100001230	BEZ_AIHAOSW_7_C8P5JACXX.IND2
B100001230	BEZ_AIHAOSW_8_C8P5JACXX.IND2
B100000622	BEZ_AILAOSW_5_C8P5JACXX.IND3
B100000622	BEZ_AILAOSW_6_C8P5JACXX.IND3
B100000622	BEZ_AILAOSW_7_C8P5JACXX.IND3
B100000622	BEZ_AILAOSW_8_C8P5JACXX.IND3
B100002056	BEZ_AKMAOSW_1_C8P5JACXX.IND3
B100002056	BEZ_AKMAOSW_2_C8P5JACXX.IND3
B100002056	BEZ_AKMAOSW_3_C8P5JACXX.IND3
B100002056	BEZ_AKMAOSW_4_C8P5JACXX.IND3
B100002046	BEZ_AKNAOSW_1_C8P5JACXX.IND4
B100002046	BEZ_AKNAOSW_2_C8P5JACXX.IND4
B100002046	BEZ_AKNAOSW_3_C8P5JACXX.IND4
B100002046	BEZ_AKNAOSW_4_C8P5JACXX.IND4
B100001217	BEZ_AKQAOSW_1_C8P5JACXX.IND6
B100001217	BEZ_AKQAOSW_2_C8P5JACXX.IND6
B100001217	BEZ_AKQAOSW_3_C8P5JACXX.IND6
B100001217	BEZ_AKQAOSW_4_C8P5JACXX.IND6
B100001557	BEZ_ALCAOSW_1_C8P5JACXX.IND1
B100001557	BEZ_ALCAOSW_2_C8P5JACXX.IND1
B100001557	BEZ_ALCAOSW_3_C8P5JACXX.IND1
B100001557	BEZ_ALCAOSW_4_C8P5JACXX.IND1
B100002033	BEZ_ALIAOSW_1_C8P20ACXX.IND5
B100000236	BEZ_AFBAOSW_2_C8NY9ACXX.IND6
B100000236	BEZ_AFBAOSW_3_C8NY9ACXX.IND6
B100000236	BEZ_AFBAOSW_4_C8NY9ACXX.IND6
B100000236	BEZ_AFBAOSW_5_C8NY9ACXX.IND6
B100000834	BEZ_AGNAOSW_2_C8NY9ACXX.IND9
B100000834	BEZ_AGNAOSW_3_C8NY9ACXX.IND9
B100000834	BEZ_AGNAOSW_4_C8NY9ACXX.IND9
B100000834	BEZ_AGNAOSW_5_C8NY9ACXX.IND9
B100000624	BEZ_AIMAOSW_1_C8P55ACXX.IND4
B100000624	BEZ_AIMAOSW_2_C8P55ACXX.IND4
B100000624	BEZ_AIMAOSW_3_C8P55ACXX.IND4
B100000624	BEZ_AIMAOSW_4_C8P55ACXX.IND4
B100000660	BEZ_AISAOSW_1_C8P55ACXX.IND9
B100000660	BEZ_AISAOSW_2_C8P55ACXX.IND9
B100000660	BEZ_AISAOSW_3_C8P55ACXX.IND9
B100000660	BEZ_AISAOSW_4_C8P55ACXX.IND9
B100001089	BEZ_AIVAOSW_2_C8NY9ACXX.IND3
B100001089	BEZ_AIVAOSW_3_C8NY9ACXX.IND3
B100001089	BEZ_AIVAOSW_4_C8NY9ACXX.IND3
B100001089	BEZ_AIVAOSW_5_C8NY9ACXX.IND3
B100001261	BEZ_AKBAOSW_5_C8P55ACXX.IND4
B100001261	BEZ_AKBAOSW_6_C8P55ACXX.IND4
B100001261	BEZ_AKBAOSW_7_C8P55ACXX.IND4
B100001261	BEZ_AKBAOSW_8_C8P55ACXX.IND4
B100001275	BEZ_AKCAOSW_1_C8P55ACXX.IND5
B100001275	BEZ_AKCAOSW_2_C8P55ACXX.IND5
B100001275	BEZ_AKCAOSW_3_C8P55ACXX.IND5
B100001275	BEZ_AKCAOSW_4_C8P55ACXX.IND5
B100001263	BEZ_AKDAOSW_1_C8P55ACXX.IND1
B100001263	BEZ_AKDAOSW_2_C8P55ACXX.IND1
B100001263	BEZ_AKDAOSW_3_C8P55ACXX.IND1
B100001263	BEZ_AKDAOSW_4_C8P55ACXX.IND1
B100001977	BEZ_AKEAOSW_5_C8P55ACXX.IND6
B100001977	BEZ_AKEAOSW_6_C8P55ACXX.IND6
B100001977	BEZ_AKEAOSW_7_C8P55ACXX.IND6
B100001977	BEZ_AKEAOSW_8_C8P55ACXX.IND6
B100002010	BEZ_AKHAOSW_5_C8P55ACXX.IND5
B100002010	BEZ_AKHAOSW_6_C8P55ACXX.IND5
B100002010	BEZ_AKHAOSW_7_C8P55ACXX.IND5
B100002010	BEZ_AKHAOSW_8_C8P55ACXX.IND5
B100002017	BEZ_AKIAOSW_5_C8P55ACXX.IND8
B100002017	BEZ_AKIAOSW_6_C8P55ACXX.IND8
