old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_068_MES_lt-0.22_G	APX_ACKOSW_7_C1CBGACXX.IND3_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACKOSW_7_C1CBGACXX.IND3	TARA_R100000963
TARA_076_MES_lt-0.22_G	APX_ACMOSW_4_662YWAAXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACMOSW_4_662YWAAXX.IND4	TARA_R100001132
TARA_076_MES_lt-0.22_G	APX_ACMOSW_7_C1CBGACXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACMOSW_7_C1CBGACXX.IND4	TARA_R100001132
TARA_078_DCM_lt-0.22_G	APX_ACPOSW_3_C1JGYACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACPOSW_3_C1JGYACXX.IND2	TARA_R100001163
TARA_078_MES_lt-0.22_G	APX_ACQOSW_3_C1JGYACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACQOSW_3_C1JGYACXX.IND10	TARA_R100001143
TARA_122_SRF_lt-0.22_G	APX_ACROSW_7_C1CBGACXX.IND6_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACROSW_7_C1CBGACXX.IND6	TARA_R100000657
TARA_122_DCM_lt-0.22_G	APX_ACSOSW_7_C1CBGACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACSOSW_7_C1CBGACXX.IND7	TARA_R100000664
TARA_122_MES_lt-0.22_G	APX_ACTOSW_3_C1JGYACXX.IND8_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACTOSW_3_C1JGYACXX.IND8	TARA_R100000687
TARA_123_SRF_lt-0.22_G	APX_ACVOSW_3_C1JGYACXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACVOSW_3_C1JGYACXX.IND9	TARA_R100001591
TARA_123_SRF_lt-0.22_G	APX_ACVOSW_4_662YWAAXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACVOSW_4_662YWAAXX.IND9	TARA_R100001591
TARA_123_MIX_lt-0.22_G	APX_ADAOSW_4_662YVAAXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADAOSW_4_662YVAAXX.IND7	TARA_R100001594
TARA_123_MIX_lt-0.22_G	APX_ADAOSW_4_662YWAAXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADAOSW_4_662YWAAXX.IND7	TARA_R100001594
TARA_124_SRF_lt-0.22_G	APX_ADBOSW_3_C23E8ACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADBOSW_3_C23E8ACXX.IND10	TARA_R100000697
TARA_124_MIX_lt-0.22_G	APX_ADCOSW_3_C23E8ACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADCOSW_3_C23E8ACXX.IND2	TARA_R100000700
TARA_125_SRF_lt-0.22_G	APX_ADDOSW_3_C23E8ACXX.IND12_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADDOSW_3_C23E8ACXX.IND12	TARA_R100000805
TARA_125_MIX_lt-0.22_G	APX_ADEOSW_3_C23E8ACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADEOSW_3_C23E8ACXX.IND7	TARA_R100000808
TARA_011_SRF_lt-0.22_G	APX_ADFOSW_4_C2MHYACXX.IND1_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADFOSW_4_C2MHYACXX.IND1	TARA_X000001316
TARA_033_SRF_lt-0.22_G	APX_ADGOSW_4_C2MJFACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ADGOSW_4_C2MJFACXX.IND2	TARA_A100001201
