old_name	PANGAEA_ID
TARA_004_DCM_0.22-1.6_G	TARA_X000000368
TARA_004_SRF_0.22-1.6_G	TARA_Y200000002
TARA_007_DCM_0.22-1.6_G	TARA_A200000159
TARA_007_SRF_0.22-1.6_G	TARA_A200000113
TARA_009_DCM_0.22-1.6_G	TARA_X000001036
TARA_009_SRF_0.22-1.6_G	TARA_X000000950
TARA_011_SRF_0.22-1.6_T	TARA_X100000009
TARA_011_SRF_lt-0.22_G	TARA_X000001316
TARA_015_SRF_0.22-1.6_T	TARA_A200000327
TARA_016_SRF_0.22-1.6_T	TARA_A200000369
TARA_018_DCM_0.22-1.6_G	TARA_S200000501
TARA_018_DCM_lt-0.22_G	TARA_A100000172
TARA_018_SRF_0.22-1.6_G	TARA_A100000164
TARA_018_SRF_0.22-1.6_T	TARA_A100000165
TARA_018_SRF_lt-0.22_G	TARA_A100000171
TARA_019_SRF_0.22-1.6_T	TARA_A100000220
TARA_022_DCM_0.22-1.6_T	TARA_S200002603
TARA_022_SRF_lt-0.22_G	TARA_S200002703
TARA_023_DCM_0.22-1.6_G	TARA_E500000081
TARA_023_DCM_lt-0.22_G	TARA_X000001382
TARA_023_SRF_0.22-1.6_G	TARA_E500000075
TARA_025_DCM_0.22-1.6_G	TARA_E500000331
TARA_025_DCM_0.22-1.6_T	TARA_E500000176
TARA_025_DCM_lt-0.22_G	TARA_E500000305
TARA_025_SRF_0.22-1.6_G	TARA_E500000178
TARA_025_SRF_lt-0.22_G	TARA_E500000318
TARA_030_DCM_0.22-1.6_G	TARA_A100001011
TARA_030_DCM_lt-0.22_G	TARA_X000001388
TARA_030_SRF_0.22-1.6_G	TARA_A100001015
TARA_031_SRF_0.22-1.6_G	TARA_A100001388
TARA_031_SRF_0.22-1.6_T	TARA_A100001401
TARA_031_SRF_lt-0.22_G	TARA_A100001391
TARA_032_DCM_0.22-1.6_G	TARA_A100001037
TARA_032_DCM_lt-0.22_G	TARA_A100001518
TARA_032_SRF_0.22-1.6_G	TARA_A100001035
TARA_032_SRF_0.22-1.6_T	TARA_A100001026
TARA_032_SRF_lt-0.22_G	TARA_A100001515
TARA_033_SRF_0.22-1.6_G	TARA_A100001234
TARA_033_SRF_0.22-1.6_T	TARA_A100001195
TARA_033_SRF_lt-0.22_G	TARA_A100001201
TARA_034_DCM_0.22-1.6_G	TARA_B100000029
TARA_034_DCM_lt-0.22_G	TARA_R100000008
TARA_034_SRF_0.1-0.22_G	TARA_Y100000004
TARA_034_SRF_0.22-1.6_G	TARA_B100000003
TARA_034_SRF_lt-0.22_G	TARA_R100000005
TARA_036_DCM_0.22-1.6_G	TARA_B100000035
TARA_036_DCM_lt-0.22_G	TARA_R100000030
TARA_036_SRF_0.1-0.22_G	TARA_Y100000015
TARA_036_SRF_0.22-1.6_G	TARA_Y100000022
TARA_036_SRF_lt-0.22_G	TARA_R100000027
TARA_037_MES_0.1-0.22_G	TARA_Y100000310
TARA_037_MES_0.22-1.6_G	TARA_B100000315
TARA_037_MES_0.22-1.6_T	TARA_B100000315
TARA_037_MES_lt-0.22_G	TARA_R100000049
TARA_038_DCM_0.22-1.6_G	TARA_B100000073
TARA_038_DCM_lt-0.22_G	TARA_R100000084
TARA_038_MES_0.1-0.22_G	TARA_Y100000296
TARA_038_MES_0.22-1.6_G	TARA_Y100000294
TARA_038_MES_0.22-1.6_T	TARA_B100000071
TARA_038_MES_lt-0.22_G	TARA_R100000093
TARA_038_SRF_0.1-0.22_G	TARA_Y100000289
TARA_038_SRF_0.22-1.6_G	TARA_Y100000287
TARA_038_SRF_lt-0.22_G	TARA_R100000081
TARA_039_DCM_0.22-1.6_G	TARA_B100000085
TARA_039_DCM_0.22-1.6_T	TARA_B100000091
TARA_039_DCM_lt-0.22_G	TARA_R100000482
TARA_039_MES_0.1-0.22_G	TARA_Y100000034
TARA_039_MES_0.22-1.6_G	TARA_Y100000031
TARA_039_MES_0.22-1.6_T	TARA_B100000101
TARA_039_MES_lt-0.22_G	TARA_R100000501
TARA_039_SRF_0.1-0.22_G	TARA_Y100000033
TARA_039_SRF_0.22-1.6_T	TARA_B100000089
TARA_039_SRF_lt-0.22_G	TARA_R100000479
TARA_040_MES_0.22-1.6_T	TARA_B100000120
TARA_040_SRF_0.22-1.6_T	TARA_B100000110
TARA_040_ZZZ_0.22-1.6_T	TARA_B100000112,TARA_B100000114,TARA_B100000116,TARA_B100000118
TARA_041_DCM_0.22-1.6_G	TARA_B100000287
TARA_041_DCM_0.22-1.6_T	TARA_B100000287
TARA_041_DCM_lt-0.22_G	TARA_R100000458
TARA_041_SRF_0.1-0.22_G	TARA_Y100000052
TARA_041_SRF_0.22-1.6_G	TARA_B100000282
TARA_041_SRF_0.22-1.6_T	TARA_B100000282
TARA_041_SRF_lt-0.22_G	TARA_R100000455
TARA_042_DCM_0.22-1.6_G	TARA_B100000131
TARA_042_DCM_0.22-1.6_T	TARA_B100000133
TARA_042_DCM_lt-0.22_G	TARA_R100000152
TARA_042_SRF_0.22-1.6_G	TARA_B100000123
TARA_042_SRF_0.22-1.6_T	TARA_B100000127
TARA_042_SRF_lt-0.22_G	TARA_R100000149
TARA_043_SRF_0.22-1.6_T	TARA_B100000143
TARA_044_SRF_0.22-1.6_T	TARA_B100000267
TARA_045_SRF_0.22-1.6_G	TARA_B100000161
TARA_045_SRF_lt-0.22_G	TARA_R100000388
TARA_046_SRF_0.22-1.6_T	TARA_B100000261
TARA_046_SRF_lt-0.22_G	TARA_R100000406
