Sample label [TARA_station#_environmental-feature_size-fraction]	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 
TARA_004_DCM_0.22-1.6	ERS487936	ERR598950|ERR599095	"http://www.ebi.ac.uk/ena/data/view/ERR598950,ERR599095"	TARA_X000000368	http://www.pangaea.de/search?All&q=TARA_X000000368	TARA_004	2009-09-15T18:00	36.5533	-6.5669	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]
TARA_004_SRF_0.22-1.6	ERS487899	ERR598955|ERR599003	"http://www.ebi.ac.uk/ena/data/view/ERR598955,ERR599003"	TARA_Y200000002	http://www.pangaea.de/search?All&q=TARA_Y200000002	TARA_004	2009-09-15T11:30	36.5533	-6.5669	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]
TARA_007_DCM_0.22-1.6	ERS477953	ERR315856	http://www.ebi.ac.uk/ena/data/view/ERR315856	TARA_A200000159	http://www.pangaea.de/search?All&q=TARA_A200000159	TARA_007	2009-09-23T16:08	37.0541	1.9478	42	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_007_SRF_0.22-1.6	ERS477931	ERR315857	http://www.ebi.ac.uk/ena/data/view/ERR315857	TARA_A200000113	http://www.pangaea.de/search?All&q=TARA_A200000113	TARA_007	2009-09-23T12:50	37.051	1.9378	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_009_DCM_0.22-1.6	ERS488147	ERR594315|ERR594329	"http://www.ebi.ac.uk/ena/data/view/ERR594315,ERR594329"	TARA_X000001036	http://www.pangaea.de/search?All&q=TARA_X000001036	TARA_009	2009-09-28T16:59	39.0609	5.9422	55	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_009_SRF_0.22-1.6	ERS488119	ERR594288|ERR594316|ERR594317	"http://www.ebi.ac.uk/ena/data/view/ERR594288,ERR594316,ERR594317"	TARA_X000000950	http://www.pangaea.de/search?All&q=TARA_X000000950	TARA_009	2009-09-28T12:18	39.1633	5.916	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_018_DCM_0.22-1.6	ERS488346	ERR599073|ERR599092	"http://www.ebi.ac.uk/ena/data/view/ERR599073,ERR599092"	TARA_S200000501	http://www.pangaea.de/search?All&q=TARA_S200000501	TARA_018	2009-11-02T14:07	35.7528	14.2765	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_018_DCM_<-0.22	ERS488354	ERR594352	http://www.ebi.ac.uk/ena/data/view/ERR594352	TARA_A100000172	http://www.pangaea.de/search?All&q=TARA_A100000172	TARA_018	2009-11-02T14:07	35.7528	14.2765	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_018_SRF_0.22-1.6	ERS488330	ERR598993|ERR599140	"http://www.ebi.ac.uk/ena/data/view/ERR598993,ERR599140"	TARA_A100000164	http://www.pangaea.de/search?All&q=TARA_A100000164	TARA_018	2009-11-02T08:13	35.759	14.2574	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_018_SRF_<-0.22	ERS488340	ERR594358	http://www.ebi.ac.uk/ena/data/view/ERR594358	TARA_A100000171	http://www.pangaea.de/search?All&q=TARA_A100000171	TARA_018	2009-11-02T08:13	35.759	14.2574	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
