PANGAEA sample id	BioSamples_ID	ENA_ID	MetaG/MetaT	Station	Layer	Size_fraction	Size_fraction_name	Used_in_OM-RGC.v1 (Sunagawa_et_al_2015)	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Polar
TARA_Y100000004	SAMEA2619888	ERS488658	MetaG	34	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000015	SAMEA2619935	ERS488722	MetaG	36	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000310	SAMEA2619974	ERS488773	MetaG	37	MES	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000296	SAMEA2620039	ERS488853	MetaG	38	MES	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000289	SAMEA2620004	ERS488803	MetaG	38	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000034	SAMEA2620106	ERS488945	MetaG	39	MES	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000033	SAMEA2620065	ERS488879	MetaG	39	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000052	SAMEA2620198	ERS489047	MetaG	41	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000114	SAMEA2620413	ERS489324	MetaG	48	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000401	SAMEA2620836	ERS490010	MetaG	64	DCM	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
