PANGAEA sample id	Raw bases	Raw reads	HQ bases	HQ reads	Avg read length	Scaftigs	Total length	Max length	N50	Predicted genes
TARA_X000001316	2525620012	26892968	1984679302	23013404	86	21234	18899698	20037	864	37963
TARA_A100001201	9374458693	95205226	7548708511	82789641	91	98489	111814967	58987	1229	204167
TARA_R100000049	9698859578	101986056	7136888698	82849918	86	52335	83493484	132135	2385	122614
TARA_R100000093	6572040832	70076330	4941491743	57694150	86	38852	43537725	74637	1219	74779
TARA_R100000501	9876777817	104441062	7658756120	87160529	88	59784	82826177	253895	1779	129568
TARA_R100000388	11554357457	119610982	8845077579	99882371	89	86921	90419684	131468	1052	165165
TARA_R100000426	9009184703	94440510	6264947417	72499449	86	58094	58589902	52474	1021	113046
TARA_R100000231	9729144701	101357592	6896296934	79203365	87	84051	87499570	73458	1073	166443
TARA_R100000365	9772972348	103921448	7311710738	84727176	86	42215	51515349	43645	1390	81544
TARA_R100000353	10819994340	112802278	7591688058	87448477	87	101175	105894264	202759	1069	196877
TARA_R100000278	9892876985	102649026	7064123052	80844869	87	85937	88366739	75339	1053	166935
TARA_R100000329	11780852331	121191220	8960386983	100606933	89	112661	116192326	51092	1057	219905
TARA_R100000306	9820554591	102506134	7647468164	87407419	87	65869	99308325	835567	2419	147408
TARA_R100000963	9176363351	97121250	5610721842	66700829	84	58532	61718431	228908	1034	111644
TARA_R100001132	7945834495	86619086	4789082332	58335861	82	48170	65670928	191885	1632	101432
TARA_R100001163	10466213978	107092254	7652599225	85329235	90	108490	110191916	64066	1037	209076
TARA_R100001143	9381708631	97663452	6281866540	72634174	86	65172	87496785	233537	1595	137173
TARA_R100000541	8872953381	92242804	6468788474	73777893	88	37879	50657926	157679	1554	84158
TARA_R100000935	10776948137	111471638	8786925632	98327025	89	82800	117035363	291766	1733	172221
TARA_R100001244	9090696039	96161470	6233620265	73247719	85	60196	80267734	192711	1588	131900
TARA_R100001369	10974064619	115822676	8009182576	92664406	86	76150	115728922	323312	2070	170131
TARA_B100000965	34001994278	341739196	29288374335	315554996	93	432536	450756232	325210	1051	765016
TARA_R100001443	9765129460	99958986	7644911530	84884611	90	79372	102921905	169155	1515	179890
TARA_B100000959	36584655462	368875202	31868354467	345650351	92	337488	419275539	341192	1421	631862
TARA_R100001530	8070739257	83920264	6153795940	69688941	88	81228	84967993	50633	1091	156109
TARA_R100001440	9105695782	93781526	6755245111	76368522	88	50745	70025065	124682	1693	119335
TARA_B100000963	37319929930	373700996	32932004878	354642203	93	372459	417202610	210192	1176	680690
TARA_B100000902	44929974947	409640862	39078682247	387758814	101	530118	537673278	135001	1024	925912
TARA_R100001463	8131731859	83338338	6321410975	70294284	90	97387	128362009	65523	1560	222706
TARA_B100000953	39204444672	399549740	32917230502	367256827	90	240957	266291554	207677	1161	424697
TARA_R100001480	9860964424	102166560	7417554669	83931240	88	86830	101903190	127804	1281	182436
TARA_R100001460	8020864059	82514022	6172280884	68999487	89	77674	100748212	69778	1524	175705
TARA_B100000900	33800972565	338697124	29648348416	318046581	93	408185	427370318	138279	1077	726356
TARA_R100001510	17073755080	169047080	12059164056	136719160	88	117768	119104409	54003	1025	218042
TARA_B100000927	33774231474	340470354	28435123535	317708836	90	271804	280324949	119603	1049	473576
TARA_B100000929	38311212012	388403914	31534747965	350388824	90	243754	264709588	207681	1138	421398
TARA_R100001509	9015989757	91637852	7216863663	78710974	92	110025	126126033	165473	1228	222262
TARA_B100000925	37972290270	375963270	30304316287	341004970	89	277314	281541611	69345	1028	476674
TARA_B100001113	41708571083	423500782	33793344255	367914954	92	370811	371426392	240265	1004	629327
TARA_B100001079	37950748374	385005800	31464375041	343859596	92	303300	306884451	207680	1033	516653
TARA_B100001109	31941270725	321797088	28024976927	298259247	94	278706	276224690	277213	983	476916
TARA_B100000579	37057934380	374127914	31517250459	337657879	93	506260	502494367	145620	1000	866447
TARA_R100000655	9980811786	102845312	7767067028	87017174	89	80353	116002253	486579	1836	194332
TARA_B100000586	40972598148	417176234	32739315967	361874453	90	263368	263409089	207699	1020	434075
TARA_R100000656	8671626732	90451172	6458119574	73895357	87	65682	75298023	453170	1186	129765
TARA_R100000654	9269827561	95232394	7183941609	80172170	90	54474	73863428	75630	1654	128178
TARA_B100000575	37502869577	380365534	31528979905	341481107	92	386721	390986072	80195	1020	667025
TARA_B100000945	40647195730	412959348	32652766601	360151130	91	358626	365898501	229762	1028	621726
TARA_B100000949	29845328495	303174866	26068654336	279762247	93	268690	286949621	240852	1102	456639
TARA_B100000941	39368758098	399008374	32800447007	355229985	92	334995	313197324	697402	911	559649
TARA_Y100001973	15926129307	159910022	13747940361	147817751	93	158503	202053840	157273	1491	344419
TARA_Y100001970	32413870767	324054998	28503634611	304234051	94	443824	553127834	210964	1415	879692
TARA_B100000700	30355108818	306153050	26265887253	283044306	93	457148	545626294	281411	1316	868093
TARA_Y100001968	34457569923	347261120	28505770388	312056352	91	430890	476214857	125509	1156	771901
TARA_R100000664	9028108595	94581636	5932904845	68952945	86	69765	83745254	105638	1336	151294
TARA_Y100001951	15005033380	151977910	13028659026	141484248	92	150323	152073116	108612	999	277597
TARA_Y100001949	27113036296	273102530	23648210833	253730444	93	190434	200481007	125762	1079	332754
TARA_B100000678	39633639859	398717238	33991720948	368812914	92	296119	308401963	147338	1069	510098
TARA_Y100001947	30899230136	311860416	25590974235	281683541	91	174838	197660555	119143	1212	311418
TARA_R100000687	12257496222	126487568	8524704606	97381317	88	84608	103622096	550526	1339	167061
TARA_R100000657	11451557335	120037536	7476191394	86942867	86	74514	75258747	31810	1028	140596
TARA_Y100001972	16521015665	165622264	14362073624	154155393	93	160370	195364869	564136	1349	338826
TARA_Y100001980	26665862774	266045520	24160432826	254676087	95	211064	198393668	301362	907	355064
TARA_B100001115	27673835345	278380318	24420757008	260313225	94	253473	246784037	101667	957	429765
TARA_Y100001978	30605365717	305930738	26767502925	285627265	94	254445	267195171	126437	1068	443031
TARA_Y100001963	19015053344	190841206	15904647911	172469048	92	212694	265115976	133855	1431	457569
TARA_Y100001960	33719664950	337901332	28994276505	310300279	93	488353	549766256	244919	1191	890760
TARA_B100000686	36734411623	368111100	32390550858	345426075	94	552104	611982703	390571	1163	992532
TARA_Y100001956	32559529869	329728372	27058100964	295689763	92	105100	126726140	244882	1341	193130
TARA_R100001594	11385757489	117495592	9411009744	103017963	91	115301	151232977	88601	1552	265757
TARA_R100001591	10178170572	103788030	7693963668	85172782	90	83393	104655216	234811	1412	184136
TARA_Y100001958	37403870771	374941772	31043295114	336769117	92	337372	330431877	74639	976	582043
TARA_B100000683	33651563993	342284306	27482260785	305178642	90	301111	357773788	189662	1292	561118
TARA_Y100001954	36955932197	374612616	30155795019	329497300	92	328274	398553874	230744	1333	615014
TARA_Y100001938	17960417808	180068338	15609854380	167653411	93	206777	251650145	107806	1365	442624
TARA_Y100001936	30655738825	306812936	27010579099	286976463	94	377367	414754532	163320	1149	690770
TARA_B100000676	37199555018	371995044	32981302772	351412096	94	488461	524892992	320843	1114	861480
TARA_Y100001934	33180959254	336043878	27900707226	305470648	91	434762	525386675	337673	1344	798028
TARA_R100000700	7520937649	76666526	5233380237	59685092	88	73577	86053478	77088	1276	156736
TARA_R100000697	13162238738	133841438	9324603707	106143852	88	90727	115548173	125779	1474	201098
TARA_Y100001937	15803315597	159381578	13863120459	148010629	94	159280	197920294	461601	1414	340494
TARA_Y100001935	29947673825	299392980	26489236244	280550248	94	294005	301665731	325214	1032	517396
TARA_B100000674	63791037062	635896664	51192942761	572835473	89	552122	613814565	305257	1161	983124
TARA_Y100001933	34238387565	345587612	27990300966	308549712	91	307017	371102482	325210	1326	571321
