PANGAEA sample id	Raw bases	Raw reads	HQ bases	HQ reads	Avg read length
TARA_X100000009	32005664815	324363584	26068468638	292111463	89
TARA_A200000327	30430336952	312081952	24976968277	283189283	88
TARA_A200000369	29846756091	300480106	22331339404	266034035	84
TARA_A100000165	8899543639	90067232	6696311905	77594720	86
TARA_A100000220	29212751217	295760840	23292135222	264247497	88
TARA_S200002603	34198665207	344161076	27791792449	315217088	88
TARA_E500000176	28704461437	288097572	23295672607	262791876	89
TARA_A100001401	29875684630	301862674	24508577656	276738619	89
TARA_A100001026	23871154535	240328668	18756639135	214004727	88
TARA_A100001195	27055992771	273270036	21826362140	248704686	88
TARA_B100000315	45048280655	456672876	36134032046	406547227	89
TARA_B100000071	42229787040	425751476	33470511233	381457164	88
TARA_B100000091	38665664114	388224624	31967688872	357550409	89
TARA_B100000101	32336190051	326014544	27073824093	303665320	89
TARA_B100000090	37689616278	377769278	30741680833	344640365	89
TARA_B100000120	23515656892	286578342	18208583943	221263526	82
TARA_B100000110	26157850186	265991254	20242739639	234494627	86
"TARA_B100000116,B100000112,B100000114,B100000118"	1.16E+11	1190216928	93661247071	1064527710	88
TARA_B100000287	39672936074	400032890	31949576625	360109965	89
TARA_B100000282	41217240369	412509614	34158383351	379764377	90
TARA_B100000133	32110128299	322481408	25788833894	292998252	88
TARA_B100000127	26085001918	264204662	21587575109	243128289	89
TARA_B100000143	26222459291	263562466	22184852577	247215334	90
TARA_B100000267	35816342194	360642866	29262009610	329496557	89
TARA_B100000261	28787826005	290608544	23928195761	268651985	89
TARA_B100000248	36281531311	368908836	29602515677	333858766	89
TARA_B100000236	29050502008	294417178	21260820837	254949173	83
TARA_B100000178	30200128338	304918096	25813204890	286145283	90
TARA_B100000194	26075421857	267208024	22295463677	248400663	90
TARA_B100000214	41330372083	425761442	32675040984	372774442	88
TARA_B100000212	32162884644	333998792	25224670948	290740814	87
TARA_B100000353	20885444967	209588088	17899899972	198137012	90
TARA_B100000355	27421077134	277071444	22441307305	253247958	89
TARA_B100000493	16694252833	169775262	13667130543	155876239	88
TARA_B100000480	26222185657	263995532	21363001096	242577159	88
TARA_B100000473	21289222025	216630650	16892036390	194715216	87
TARA_B100000444	29111006069	291571670	23500982998	265480342	89
TARA_B100000457	17420134643	176146750	14844114145	165343726	90
TARA_B100000436	21543000081	216758684	17566357153	199342794	88
TARA_B100000422	22381738818	226044498	17697519003	203142728	87
TARA_B100000420	10733686961	108238466	9052382963	101426752	89
TARA_B100000515	21762974107	219016378	17456463712	198996548	88
TARA_B100000747	23135250246	232568058	18052835253	208490145	87
TARA_B100000513	24483888060	254784220	19677097763	227326165	87
TARA_B100000526	33471474821	339252870	26436598412	302300119	87
TARA_B100000524	20062051463	207337190	16538872988	188010395	88
TARA_B100000713	22910509610	231762156	18388323315	209774688	88
TARA_B100000834	22327321189	225863754	16257517335	196340040	83
TARA_B100000832	13131477505	133749218	10887011730	124043396	88
TARA_B100000767	24010398553	243378198	19511782716	221516962	88
TARA_B100000768	17132821164	176417412	13986865657	159339848	88
TARA_B100000765	18935731131	192346290	15774850796	178945402	88
TARA_B100000780	23032202891	232214410	18960552850	213962639	89
TARA_B100000794	13578220553	136931256	11416164724	127615714	89
TARA_B100000787	20495017083	206274320	17062996248	191355857	89
TARA_B100000813	11615097713	117306432	9781873726	110164227	89
TARA_B100000811	23829885389	241086464	19566598441	221907464	88
TARA_B100000562	22774550326	231236990	18666941725	211718785	88
TARA_B100000851	21571216644	219108858	17700694719	198932377	89
TARA_B100000858	24006103361	246330302	18673319618	217138014	86
TARA_B100000801	15182072546	153682502	12745804460	143616088	89
TARA_B100000865	11758068655	120582770	9910724803	112102052	88
TARA_B100000872	17674344980	179439430	14691729031	166422541	88
TARA_B100001061	26768396278	270347228	22070402405	249679566	88
TARA_B100001064	18287910472	185031598	15330072336	172743448	89
TARA_B100000987	19404010224	196294566	16289169129	183251506	89
TARA_B100000986	23534475387	238342456	19492702186	220245992	89
TARA_B100000973	25883424340	260961394	21114079619	239210159	88
TARA_B100001000	28370236527	284678836	22653379964	259050170	87
TARA_B100000994	15876060220	161279478	13426764439	151417967	89
TARA_B100001033	23675599567	239207986	19375224854	218954924	88
TARA_B100001010	33838501875	342918160	24081248873	279980358	86
TARA_B100001031	21874082173	223117012	18048948903	203218697	89
TARA_B100000885	29472215206	297849458	23651127096	268920360	88
TARA_B100000965	28406670908	287018662	22994333350	260699888	88
TARA_B100000959	30637877276	308651626	25012132537	282885949	88
TARA_B100000963	26070145791	264112160	21165456653	240256335	88
TARA_B100000902	27377287204	276297072	22238979437	251568804	88
TARA_B100000954	33889295702	341880632	26430800082	303923905	87
TARA_B100000900	27635983329	278229630	22163798595	252497298	88
TARA_B100000918	16596673256	170783832	13961381619	158214503	88
TARA_B100000920	28824815203	291546744	22713298398	259806433	87
TARA_B100000916	15925761770	163736094	13236741247	150393192	88
TARA_B100000927	26761003257	270357058	21765822078	246762914	88
TARA_B100000929	37654628377	379936304	30341269858	344757307	88
TARA_B100000926	21632731566	219205648	17417080472	198246250	88
TARA_B100001111	13838355407	141237810	10523070058	123041084	86
TARA_B100001076	20427721283	211891162	15160689269	177171197	86
TARA_B100001107	18566273312	197027562	14240540572	163415598	87
TARA_B100000579	29039138491	293527328	23532704297	264491758	89
TARA_B100000575	29160246698	293767034	23897101605	270046469	88
TARA_B100000943	24596340187	252325764	19113128399	219166679	87
TARA_B100000939	20866977685	214404564	15027164798	175238058	86
TARA_B100000593	15353564093	155479662	11498037217	134794655	85
TARA_B100000700	42375607469	428350176	34316987048	387585432	89
TARA_B100000678	45308486083	460391372	35751908839	407546955	88
TARA_B100001115	26058168667	264514112	20132819280	231001921	87
TARA_B100000686	39152427743	395249608	31181588262	353444061	88
TARA_B100000683	24077428630	243740846	18916136567	215968900	88
TARA_B100000676	35680658397	358452938	30091886086	334359430	90
TARA_B100000674	23242017718	235342140	18023655248	206364947	87
TARA_B100001123	38519311426	388590838	30611485294	351133123	87
TARA_B100001121	28185770710	288449058	21074351440	245065556	86
TARA_B100001230	27973331212	286249140	20968494729	246944301	85
TARA_B100001228	31116205227	315469688	24053563131	278679634	86
