PANGAEA sample id	Station.label	Layer	polar	lower.size.fraction	upper.size.fraction	Event.date	Latitude	Longitude	Depth.nominal	Ocean.region	Temperature	Oxygen	ChlorophyllA	Carbon.total	Salinity	Gradient.Surface.temp(SST)	Fluorescence	CO3	HCO3	Density	PO4	PAR.PC	NO3	Si	Alkalinity.total	Ammonium.5m	Depth.Mixed.Layer	Lyapunov	NO2	Depth.Min.O2	NO2NO3	Nitracline	Brunt.Väisälä	Iron.5m	Depth.Max.O2	Okubo.Weiss	Residence.time
TARA_A100000165	TARA_018	SRF	non polar	0.22	1.6	2009-11-02T08:13	35.759	14.2574	5	[MS] Mediterranean Sea (MRGID:1905)	21.48665	208.245	0.013344	0.0103	37.89575	1.0513	1.091875	0.0228	0	26.565263	0.0256			0.5571	0.001	0.009119561	51	0.066158	0.01833	221	0.118		61	0.001387895	60	-0.124391	15.222222
TARA_A100000220	TARA_019	SRF	non polar	0.22	1.6	2009-11-11T16:24	34.2116	13.7684	5	[MS] Mediterranean Sea (MRGID:1905)	21.8213	233.87875	0.055739		38.414625	0.3291				26.866075						0.008395728	60	0.078478		14			70	0.001388003	77	0.007018	1.777778
TARA_A100001026	TARA_032	SRF	non polar	0.22	1.6	2010-01-11T07:21	23.36	37.2183	5	[RS] Red Sea (MRGID:4264)	25.811708	188.341917	0.085486	0.00435	39.7709	0.14872	1.11375	0.00405	0	26.698217	0.00875		0.279747	0.8775	0	0.020147547	104		0.01075	216	0	208	170	0.001387787	13	-0.014886	0
TARA_A100001195	TARA_033	SRF	non polar	0.22	1.6	2010-01-13T07:16	21.9467	38.2517	5	[RS] Red Sea (MRGID:4264)	27.3097	183.589125	0.150568	0.007	38.9435	0.27335	1.2825	0.00775	0	25.59125	0.04575		0.253501	1.12025	0.0019	0.01949049	56	0	0.003	153	0.006	153	77	0.001387791	45	0.450777	0
TARA_A100001401	TARA_031	SRF	non polar	0.22	1.6	2010-01-09T07:15	27.16	34.835	5	[RS] Red Sea (MRGID:4264)	25.0281	189.91675	0.112855	0.00475	39.96035	0.67892	1.054375	0.0044	0	27.086225	0.01225		0	0.8825	0	0.011221905	53	0.028165	0.00925	293	0.036	160	89	0.001387113	60	0.162621	1.194444
TARA_A200000327	TARA_015	SRF	non polar	0.22	1.6	2009-10-26T12:25	40.0154	13.9069	5	[MS] Mediterranean Sea (MRGID:1905)	20.0737	246.40525	0.210317		37.851	0.93822				26.918825	0.0638			1.0288		0.008718667	33		0	167	0.0725		43	0.001387889	33	-0.093545	6.527778
TARA_A200000369	TARA_016	SRF	non polar	0.22	1.6	2009-10-27T08:22	37.4956	15.4945	5	[MS] Mediterranean Sea (MRGID:1905)	20.858567	208.725167	0.11467	0.00305	38.144833	0.93822	1.183333	0.00665	0	26.929367	0.02835			0.6661	2.00E-04	0.004815927	33		0.016565	167	0.037		43	0.001387897	33	-0.010883	3.888889
TARA_B100000071	TARA_038	MES	non polar	0.22	1.6	2010-03-16T06:13:30	19.0351	64.5638	340	[IO] Indian Ocean (MRGID:1904)	14.901445	2.9502	0.002565	0	36.014205	0.29724	2.791	0	0.0061	26.787485	2.639		22.18992	38.94	0	0.030032598	18	0.069484	0.691	475	23.43	109	114	0.001387726	14	0.005785	0
TARA_B100000089	TARA_039	SRF	non polar	0.22	1.6	2010-03-18T04:27	18.5918	66.622	5	[IO] Indian Ocean (MRGID:1904)	27.089113	193.065313	0.115273	0.0035	36.310588	0.38108	1.188594	0.0034	0	23.677262	0.2335		0	1.515	0	0.0255102	28		0.0065	689	0.0425	109	34	0.00138772	14	0.403157	2.25
TARA_B100000091	TARA_039	DCM	non polar	0.22	1.6	2010-03-18T11:33	18.5839	66.4727	25	[IO] Indian Ocean (MRGID:1904)	26.692435	187.47615	0.196803	0.00545	36.40162	0.28957	1.43775	0.00925	0	23.87718	0.2465		0	1.2415	0.00115	0.0255102	26		0.011	480	0.0675	124	3	0.00138772	13	0.403157	2.25
TARA_B100000101	TARA_039	MES	non polar	0.22	1.6	2010-03-20T08:15:28	18.7341	66.3896	270	[IO] Indian Ocean (MRGID:1904)	15.553795	3.12405	0.007712	0	35.907681	0.1421	2.75675	0	0.0058	26.565675	2.64		18.560166	38.62	0	0.0255102	14		2.074	486	21.22	125	3	0.00138772	16	0.403157	2.25
