Barcode	Station.label	Layer	polar	lower.size.fraction	upper.size.fraction	Event.date	Latitude	Longitude	Depth.nominal	Ocean.region	Temperature	Oxygen	ChlorophyllA	Carbon.total	Salinity	Gradient.Surface.temp(SST)	Fluorescence	CO3	HCO3	Density	PO4	PAR.PC	NO3	Si	Alkalinity.total	Ammonium.5m	Depth.Mixed.Layer	Lyapunov	NO2	Depth.Min.O2	NO2NO3	Nitracline	Brunt.VÌ_isÌ_lÌ_	Iron.5m	Depth.Max.O2	Okubo.Weiss	Residence.time
TARA_A100000164-TARA_A100000165	TARA_018	SRF	non polar	0.22	1.6	2009-11-02T08:13	35.759	14.2574	5	[MS] Mediterranean Sea (MRGID:1905)	21.48665	208.245	0.013344	0.0103	37.89575	1.0513	1.091875	0.0228	0	26.565263	0.0256			0.5571	0.001	0.009119561	51	0.066158	0.01833	221	0.118		61	0.001387895	60	-0.124391	15.222222
TARA_E500000331-TARA_E500000176	TARA_025	DCM	non polar	0.22	1.6	2009-11-23T13:52	39.3991	19.3997	50	[MS] Mediterranean Sea (MRGID:1905)	15.181967	229.908917	0.134028		38.489083	2.035	1.845			28.626442				1.354		0.002326648	31	0	0.1055	785	0.3595		44	0.001387952	39	0.369749	0
TARA_A100001388-TARA_A100001401	TARA_031	SRF	non polar	0.22	1.6	2010-01-09T07:15	27.16	34.835	5	[RS] Red Sea (MRGID:4264)	25.0281	189.91675	0.112855	0.00475	39.96035	0.67892	1.054375	0.0044	0	27.086225	0.01225		0	0.8825	0	0.011221905	53	0.028165	0.00925	293	0.036	160	89	0.001387113	60	0.162621	1.194444
TARA_A100001035-TARA_A100001026	TARA_032	SRF	non polar	0.22	1.6	2010-01-11T07:21	23.36	37.2183	5	[RS] Red Sea (MRGID:4264)	25.811708	188.341917	0.085486	0.00435	39.7709	0.14872	1.11375	0.00405	0	26.698217	0.00875		0.279747	0.8775	0	0.020147547	104		0.01075	216	0	208	170	0.001387787	13	-0.014886	0
TARA_A100001234-TARA_A100001195	TARA_033	SRF	non polar	0.22	1.6	2010-01-13T07:16	21.9467	38.2517	5	[RS] Red Sea (MRGID:4264)	27.3097	183.589125	0.150568	0.007	38.9435	0.27335	1.2825	0.00775	0	25.59125	0.04575		0.253501	1.12025	0.0019	0.01949049	56	0	0.003	153	0.006	153	77	0.001387791	45	0.450777	0
TARA_B100000315-TARA_B100000315	TARA_037	MES	non polar	0.22	1.6	2010-03-12T17:08:47	20.8457	63.5851	600	[IO] Indian Ocean (MRGID:1904)	11.984006	2.81625	0.008026	0	35.672725	0.024714	2.6925	0	0	27.130513			31.290804		0	0.028889008		0.06187		587		95	30	0.001387737	13	-0.087532	0
TARA_Y100000294-TARA_B100000071	TARA_038	MES	non polar	0.22	1.6	2010-03-16T06:13:30	19.0351	64.5638	340	[IO] Indian Ocean (MRGID:1904)	14.901445	2.9502	0.002565	0	36.014205	0.29724	2.791	0	0.0061	26.787485	2.639		22.18992	38.94	0	0.030032598	18	0.069484	0.691	475	23.43	109	114	0.001387726	14	0.005785	0
TARA_B100000085-TARA_B100000091	TARA_039	DCM	non polar	0.22	1.6	2010-03-18T11:33	18.5839	66.4727	25	[IO] Indian Ocean (MRGID:1904)	26.692435	187.47615	0.196803	0.00545	36.40162	0.28957	1.43775	0.00925	0	23.87718	0.2465		0	1.2415	0.00115	0.0255102	26		0.011	480	0.0675	124	3	0.00138772	13	0.403157	2.25
TARA_Y100000031-TARA_B100000101	TARA_039	MES	non polar	0.22	1.6	2010-03-20T08:15:28	18.7341	66.3896	270	[IO] Indian Ocean (MRGID:1904)	15.553795	3.12405	0.007712	0	35.907681	0.1421	2.75675	0	0.0058	26.565675	2.64		18.560166	38.62	0	0.0255102	14		2.074	486	21.22	125	3	0.00138772	16	0.403157	2.25
TARA_B100000287-TARA_B100000287	TARA_041	DCM	non polar	0.22	1.6	2010-03-30T10:56	14.5536	70.0128	60	[IO] Indian Ocean (MRGID:1904)	27.374181	164.440063	0.166581	0.01485	36.503531	0.22011	1.377813	0.0249	0.00665	23.734719	0.846		0	3.5765	0.002	0.020277846	25	0.026178	0.2375	404	7.847	67	29	0.001387699	33	-0.412443	19.027778
TARA_B100000282-TARA_B100000282	TARA_041	SRF	non polar	0.22	1.6	2010-03-30T02:47	14.6059	69.9776	5	[IO] Indian Ocean (MRGID:1904)	29.151544	187.306625	0.092377	0.001	36.0499	0.25556	0.965625	0.00075	0	22.799819	0.1565		0	1.3865	0	0.020277846	25	0.026178	0.007	450	0.057	74	79	0.001387699	24	-0.412443	19.027778
TARA_B100000131-TARA_B100000133	TARA_042	DCM	non polar	0.22	1.6	2010-04-04T09:50	5.9998	73.9067	80	[IO] Indian Ocean (MRGID:1904)	27.9561	137.998083	0.228999	0.0036	35.044342	0.033777	1.42	0.01365	0.0024	22.474092	0.2505		0	2.7335	0.00295	0.015891551	32		0.152	176	0.741	84	105	0.001387698	36	0.15868	8
TARA_B100000123-TARA_B100000127	TARA_042	SRF	non polar	0.22	1.6	2010-04-04T02:47	6.0001	73.8955	5	[IO] Indian Ocean (MRGID:1904)	30.12785	188.79575	0.080016	0.00085	34.56775	0.034594	0.966875	0.00085	0	21.358942	0.0765		0	2.171	0	0.015891551	41		0.001	184	0.022	85	102	0.001387698	44	0.15868	8
TARA_B100000214-TARA_B100000214	TARA_052	DCM	non polar	0.22	1.6	2010-05-17T11:42	-16.9534	53.9601	75	[IO] Indian Ocean (MRGID:1904)	25.212642	194.81775	0.228414	0.0091	34.896833	0.18796	1.180417	0.0296	0	23.203642	0.159		0.532471	2.824	0.0057	0.01050256	63	0.074677	0.032	170	0.4675	166	73	0.001048266	448	0.274476	2.138889
TARA_B100000212-TARA_B100000212	TARA_052	SRF	non polar	0.22	1.6	2010-05-17T04:10	-16.957	53.9801	5	[IO] Indian Ocean (MRGID:1904)	27.956483	191.628083	0.134305	0.0022	34.54545	0.20159	0.977083	0.0061	0	22.067625	0.119		0.532471	2.666	0	0.01050256	53	0.074677	0	958	0		79	0.001048266	470	0.274476	2.138889
TARA_B100000497-TARA_B100000493	TARA_067	SRF	non polar	0.22	3	2010-09-07T06:19	-32.2401	17.7103	5	[SAO] South Atlantic Ocean (MRGID:1914)	13.04322	252.63145	0.765222	2.1997	34.870735	2.6088	4.093218	0.07385	0.2919	26.28407			1.264607		0.0483	0.043375768	25	0		89		32	35	0.000415882	14	0.04459	1.111111
TARA_B100000482-TARA_B100000480	TARA_068	DCM	non polar	0.22	3	2010-09-14T13:30	-31.027	4.6802	50	[SAO] South Atlantic Ocean (MRGID:1914)	16.74878	231.9774	0.325714	0.0183	35.68407	0.11343	2.011787	0.0692	0	26.101325	0.227		0.904785	2.436	0.0038	0.015807986	156	0.120437	0.285	1320	1.08		353	0.00036828	237	0.069036	6.388889
TARA_B100000475-TARA_B100000473	TARA_068	SRF	non polar	0.22	3	2010-09-14T06:55	-31.0266	4.665	5	[SAO] South Atlantic Ocean (MRGID:1914)	16.8632	234.4763	0.309005	0.01515	35.686585	0.11343	1.951133	0.0462	0	26.07437	0.1455		1.103865	1.9865	0.00255	0.015807986	156	0.120437	0.201	1320	0.939		353	0.00036828	237	0.069036	6.388889
