sample	read filename	metaG/metaT					
TARA_068_MES_lt-0.22_G	APX_ACKOSW_7_C1CBGACXX.IND3_clean.screened.tara.adapters.pair.1.fq.gz	metaG	APX_ACKOSW_7_1_C1CBGACXX.IND3_clean.fastq.gz ; APX_ACKOSW_7_2_C1CBGACXX.IND3_clean.fastq.gz				
TARA_076_MES_lt-0.22_G	APX_ACMOSW_4_662YWAAXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_076_MES_lt-0.22_G	APX_ACMOSW_7_C1CBGACXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_078_DCM_lt-0.22_G	APX_ACPOSW_3_C1JGYACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_078_MES_lt-0.22_G	APX_ACQOSW_3_C1JGYACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_122_SRF_lt-0.22_G	APX_ACROSW_7_C1CBGACXX.IND6_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_122_DCM_lt-0.22_G	APX_ACSOSW_7_C1CBGACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_122_MES_lt-0.22_G	APX_ACTOSW_3_C1JGYACXX.IND8_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_123_SRF_lt-0.22_G	APX_ACVOSW_3_C1JGYACXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_123_SRF_lt-0.22_G	APX_ACVOSW_4_662YWAAXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_123_MIX_lt-0.22_G	APX_ADAOSW_4_662YVAAXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_123_MIX_lt-0.22_G	APX_ADAOSW_4_662YWAAXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_124_SRF_lt-0.22_G	APX_ADBOSW_3_C23E8ACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_124_MIX_lt-0.22_G	APX_ADCOSW_3_C23E8ACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_125_SRF_lt-0.22_G	APX_ADDOSW_3_C23E8ACXX.IND12_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_125_MIX_lt-0.22_G	APX_ADEOSW_3_C23E8ACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_011_SRF_lt-0.22_G	APX_ADFOSW_4_C2MHYACXX.IND1_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
