Functional module	KO	Annotation
Aerobic respiration	K07648	" arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
Aerobic respiration	K00425	 cydA; cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]
Aerobic respiration	K00426	 cydB; cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]
Anoxygenic photosynthesis	K08929	 pufM; photosynthetic reaction center M subunit
Anoxygenic photosynthesis	K08940	 pscA; photosystem P840 reaction center large subunit
Anoxygenic photosynthesis	K08946	 csmB; chlorosome envelope protein B
Anoxygenic photosynthesis	K08944	 fmoA; bacteriochlorophyll A protein
Anoxygenic photosynthesis	K08930	 pucA; light-harvesting protein B-800-850 alpha chain
Bacterial chemotaxis	K12368	 dppA; dipeptide transport system substrate-binding protein
Bacterial chemotaxis	K03776	 aer; aerotaxis receptor
Bacterial chemotaxis	K13924	" cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:3.1.1.61 2.1.1.80]"
Bacterial chemotaxis	K10108	 malE; maltose/maltodextrin transport system substrate-binding protein
Bacterial chemotaxis	K00575	 cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
Bacterial chemotaxis	K03413	" cheY; two-component system, chemotaxis family, response regulator CheY"
Bacterial chemotaxis	K10439	 rbsB; ribose transport system substrate-binding protein
Bacterial chemotaxis	K03412	" cheB; two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]"
Bacterial chemotaxis	K03406	 mcp; methyl-accepting chemotaxis protein
Bacterial chemotaxis	K03407	" cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
Bacterial chemotaxis	K10540	 mglB; methyl-galactoside transport system substrate-binding protein
Bacterial chemotaxis	K03415	" cheV; two-component system, chemotaxis family, response regulator CheV"
Bacterial chemotaxis	K03408	 cheW; purine-binding chemotaxis protein CheW
Carbon metabolism	K00605	" dmdA, gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"
Carbon metabolism	K08691	 malyl-CoA lyase [EC:4.1.3.24]
Carbon metabolism	K01681	 aconitate hydratase 1 [EC:4.2.1.3]
Carbon metabolism	K01648	 ATP citrate (pro-S)-lyase [EC:2.3.3.8]
Carbon metabolism	K15016	 3-hydroxybutyryl-CoA dehydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35 4.2.1.55]
Carbon metabolism	K15017	 succinyl-CoA reductase (NADPH) [EC:1.2.1.-]
Carbon metabolism	K15019	 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]
Carbon metabolism	K00626	 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
Carbon metabolism	K00625	 phosphate acetyltransferase [EC:2.3.1.8]
Carbon metabolism	K01958	 pyruvate carboxylase [EC:6.4.1.1]
Carbon metabolism	K00170	" pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]"
Carbon metabolism	K00175	 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]
Carbon metabolism	K11942	 methylmalonyl-CoA mutase [EC:5.4.99.2]
Carbon metabolism	K00031	 isocitrate dehydrogenase [EC:1.1.1.42]
Carbon metabolism	K00190	 carbon monoxide dehydrogenase / acetyl-CoA synthase subunit beta [EC:2.3.1.169 1.2.99.2 1.2.7.4]
Carbon metabolism	K00241	 succinate dehydrogenase cytochrome b556 subunit
Carbon metabolism	K01903	 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
Carbon metabolism	K01595	 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Carbon metabolism	K01715	 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
Carbon metabolism	K14468	 malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298 1.2.1.75]
Carbon metabolism	K01895	 acetyl-CoA synthetase [EC:6.2.1.1]
Carbon metabolism	K05606	 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
Carbon metabolism	K14469	 acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:6.2.1.36 4.2.1.116 1.3.1.84]
Carbon metabolism	K00297	 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
Carbon metabolism	K01825	 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:5.3.3.8 5.1.2.3 4.2.1.17 1.1.1.35]
Carbon metabolism	K14138	 carbon monoxide dehydrogenase / acetyl-CoA synthase subunit alpha [EC:2.3.1.169 1.2.99.2 1.2.7.4]
Carbon metabolism	K03737	 putative pyruvate-flavodoxin oxidoreductase [EC:1.2.7.-]
Carbon metabolism	K13788	 phosphate acetyltransferase [EC:2.3.1.8]
Carbon metabolism	K00024	 malate dehydrogenase [EC:1.1.1.37]
Carbon metabolism	K01938	 formate--tetrahydrofolate ligase [EC:6.3.4.3]
Carbon metabolism	K15039	 3-hydroxypropionate dehydrogenase (NADP+)
Carbon metabolism	K15037	 biotin carboxyl carrier protein
Carbon metabolism	K09709	 mesaconyl-C4 CoA hydratase
Carbon metabolism	K14472	 succinyl-CoA:(S)- malate CoA transferase subunit B [EC:2.8.3.-]
Carbon metabolism	K14470	 mesaconyl-CoA C1-C4 CoA transferase
Carbon metabolism	K05299	 formate dehydrogenase alpha subunit [EC:1.2.1.43]
Carbon metabolism	K15232	 citryl-CoA synthetase large subunit [EC:6.2.1.18]
Carbon metabolism	K00240	 succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]
Carbon metabolism	K14534	 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:5.3.3.3 4.2.1.120]
Carbon metabolism	K15231	 ATP-citrate lyase beta-subunit [EC:2.3.3.8]
Carbon metabolism	K00245	 fumarate reductase iron-sulfur subunit [EC:1.3.99.1]
Carbon metabolism	K00244	 fumarate reductase flavoprotein subunit [EC:1.3.99.1]
Carbon metabolism	K01676	" fumarate hydratase, class I [EC:4.2.1.2]"
Carbon metabolism	K01007	" pyruvate, water dikinase [EC:2.7.9.2]"
Carbon metabolism	K01679	" fumarate hydratase, class II [EC:4.2.1.2]"
Carbon metabolism	K01966	 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
Carbon metabolism	K01964	 acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.3 6.4.1.2]
Carbon metabolism	K01963	 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]
Carbon metabolism	K00925	 acetate kinase [EC:2.7.2.1]
Carbon metabolism	K01961	" acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.3.4.14 6.4.1.2]"
Carbon metabolism	K15023	 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase
Carbon metabolism	K01847	 methylmalonyl-CoA mutase [EC:5.4.99.2]
Carbon metabolism	K15024	 propanediol utilization protein
Carbon metabolism	K00169	" pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]"
Carbon metabolism	K14449	 mesaconyl-CoA hydratase
Carbon metabolism	K01782	 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:5.1.2.3 4.2.1.17 1.1.1.35]
Carbon metabolism	K00239	 succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]
Carbon metabolism	K07516	 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
