Enzyme	cluster
K02689 photosystem I P700 chlorophyll a apoprotein A1 (Oxy. photosynthesis)               	cluster 1
K00873 Pyruvate kinase (Glycolisis)                                                       	cluster 1
K00958 sulfate adenylyltransferase (SO4 reduction)                                        	cluster 1
K00615 Transketolase (PP pathway)                                                         	cluster 1
K01602 RubisCO small chain (Calvin Cycle)                                                 	cluster 1
K01601 RubisCO large chain (Calvin Cycle)                                                 	cluster 1
K00855 phosphoribulokinase (Calvin Cycle)                                                 	cluster 1
K02641 ferredoxin--NADP+ reductase (Oxy. photosynthesis)                                  	cluster 1
K00366 Ferredoxine-nitrite reductase (NO3 reduction)                                      	cluster 1
K02636 cytochrome b6-f complex iron-sulfur subunit (Oxy. photosynthesis)                  	cluster 1
K02703 photosystem II P680 reaction center D1 protein (Oxy. photosynthesis)               	cluster 1
K02638 plastocyanin (Oxy. photosynthesis)                                                 	cluster 1
K05383 CpeT protein (Oxy. photosynthesis)                                                 	cluster 2
K05376 phycoerythrin alpha chain (Oxy. photosynthesis)                                    	cluster 2
K02284 phycocyanin alpha chain (Oxy. photosynthesis)                                      	cluster 2
K02092 allophycocyanin alpha subunit (Oxy. photosynthesis)                                	cluster 2
K02097 phycobilisome core component (Oxy. photosynthesis)                                 	cluster 2
K04561 Nitric oxide reductase (cytochrome c) (NO3 reduction)                              	cluster 3
K03385 Nitrite reductase (cytochrome) (NO3 reduction)                                     	cluster 3
K02567 periplasmic nitrate reductase NapA (NO3 reduction)                                 	cluster 3
K00376 Nitrous oxide reductase (NO3 reduction)                                            	cluster 3
K15864 nitrite reductase (NO-forming) (NO3 reduction)                                     	cluster 3
K14138 CO-methylating acetyl-CoA synthase (Red. Acetyl-CoA pathway)                       	cluster 3
K10535 hydroxylamine dehydrogenase (Nitrification)                                        	cluster 3
K15019 3-hydroxypropionyl-CoA dehydratase (3-HP bicycle/HH cycle)                         	cluster 4
K10944 Ammonia monooxigenase (Nitrification)                                              	cluster 4
K00368 nitrite reductase (NO-forming) (NO3 reduction)                                     	cluster 4
K00390 phosphoadenylyl-sulfate reductase (thioredoxin) (SO4 reduction)                    	NA
K00367 Ferredoxine nitrate reductase (NO3 reduction)                                      	NA
K00392 Sulfite reductase (ferredoxin) (SO3 reduction)                                     	NA
K01895 acetyl-CoA synthetase (Red. Acetyl-CoA pathway)                                    	NA
K01738 cysteine synthase A (Cysteine synthesis)                                           	NA
K15229 methylamine dehydrogenase heavy chain (Methanotrophy)                              	cluster 5
K15228 methylamine dehydrogenase light chain (Methanotrophy)                              	cluster 5
K00372 assimilatory nitrate reductase catalytic subunit (NO3 reduction)                   	cluster 5
K01647 citrate synthase (TCA)                                                             	cluster 6
K00860 Adenylylsulfate kinase (SO4 reduction)                                             	cluster 6
K00845 Glucokinase (Glycolisis)                                                           	cluster 6
K00036 Glucose-6-phosphate dehydrogenase (PP pathway)                                     	cluster 6
K14029 Methanol dehydrogenase (cytochrome c) subunit 2 (Methanotrophy)                    	cluster 7
K14028 Methanol dehydrogenase (cytochrome c) subunit 1 (Methanotrophy)                    	cluster 7
K01902 succinyl-CoA synthetase (TCA)                                                      	NA
K00380 sulfite reductase (NADPH) flavoprotein alpha-component (SO3 reduction)             	NA
K08912 light-harvesting complex II chlorophyll a/b binding protein 1 (Oxy. photosynthesis)	NA
K01674 carbonic anhydrase (Anaplerotic C fix.)                                            	cluster 8
K01672 carbonic anhydrase (Anaplerotic C fix.)                                            	cluster 8
K00387 sulfite oxidase (SO3 oxydation)                                                    	NA
K17877 Nitrite reductase NAD(P)H (NO3 reduction)                                          	NA
K10534 Nitrate reductase NADH (NO3 reduction)                                             	NA
K18246 carbonic anhydrase 4 (Anaplerotic C fix.)                                          	NA
K08907 light-harvesting complex I chlorophyll a/b binding protein 1 (Oxy. photosynthesis) 	cluster 9
K00026 malate dehydrogenase (TCA)                                                         	cluster 9
K02591 nitrogenase molybdenum-iron protein beta chain (N fixation)                        	cluster 10
K02586 nitrogenase molybdenum-iron protein alpha chain (N fixation)                       	cluster 10
K02588 nitrogenase iron protein NifH (N fixation)                                         	cluster 10
K01673 carbonic anhydrase (Anaplerotic C fix.)                                            	cluster 11
K00381 sulfite reductase (NADPH) hemoprotein beta-component (SO3 reduction)               	cluster 11
K12339 cysteine synthase B (Cysteine synthesis)                                           	cluster 11
K00957 sulfate adenylyltransferase subunit 2 (SO4 reduction)                              	cluster 11
K00956 sulfate adenylyltransferase subunit 1 (SO4 reduction)                              	cluster 11
K14470 mesaconyl-CoA C1-C4 CoA transferase (3-HP bicycle)                                 	cluster 12
K09709 mesaconyl-C4 CoA hydratase (3-HP bicycle)                                          	cluster 12
K08929 photosynthetic reaction center M subunit (Anoxy. photosynthesis)                   	cluster 12
K14534 4-hydroxybutanoyl-CoA dehydratase (DH cycle/HH cycle)                              	cluster 12
"K00395 adenylylsulfate reductase, subunit B (SO4 reduction)                               "	cluster 12
"K00394 adenylylsulfate reductase, subunit A (SO4 reduction)                               "	cluster 12
K03519 aerobic carbon-monoxide dehydrogenase medium subunit (CO oxidation)                	cluster 12
K03518 aerobic carbon-monoxide dehydrogenase small subunit (CO oxidation)                 	cluster 12
K03520 aerobic carbon-monoxide dehydrogenase large subunit (CO oxidation) 	cluster 12
