TARA_X100000009	TARA_011_SRF_0.22-1.6
TARA_A200000327	TARA_015_SRF_0.22-1.6
TARA_A200000369	TARA_016_SRF_0.22-1.6
TARA_A100000165	TARA_018_SRF_0.22-1.6
TARA_A100000220	TARA_019_SRF_0.22-1.6
TARA_S200002603	TARA_022_DCM_0.22-1.6
TARA_E500000176	TARA_025_DCM_0.22-1.6
TARA_A100001401	TARA_031_SRF_0.22-1.6
TARA_A100001026	TARA_032_SRF_0.22-1.6
TARA_A100001195	TARA_033_SRF_0.22-1.6
TARA_B100000315	TARA_037_MES_0.22-1.6
TARA_B100000071	TARA_038_MES_0.22-1.6
TARA_B100000091	TARA_039_DCM_0.22-1.6
TARA_B100000101	TARA_039_MES_0.22-1.6
TARA_B100000089	TARA_039_SRF_0.22-1.6
TARA_B100000120	TARA_040_MES_0.22-1.6
TARA_B100000110	TARA_040_SRF_0.22-1.6
"TARA_B100000116,B100000112,B100000114,B100000118"	TARA_040_ZZZ_0.22-1.6
TARA_B100000287	TARA_041_DCM_0.22-1.6
TARA_B100000282	TARA_041_SRF_0.22-1.6
TARA_B100000133	TARA_042_DCM_0.22-1.6
TARA_B100000127	TARA_042_SRF_0.22-1.6
TARA_B100000143	TARA_043_SRF_0.22-1.6
TARA_B100000267	TARA_044_SRF_0.22-1.6
TARA_B100000261	TARA_046_SRF_0.22-1.6
TARA_B100000248	TARA_047_SRF_0.22-1.6
TARA_B100000236	TARA_049_SRF_0.22-1.6
TARA_B100000178	TARA_050_SRF_0.22-1.6
TARA_B100000194	TARA_051_SRF_0.22-1.6
TARA_B100000214	TARA_052_DCM_0.22-1.6
TARA_B100000212	TARA_052_SRF_0.22-1.6
TARA_B100000353	TARA_053_SRF_0.22-1.6
TARA_B100000355	TARA_054_SRF_0.22-1.6
TARA_B100000493	TARA_067_SRF_0.22-3
TARA_B100000480	TARA_068_DCM_0.22-3
TARA_B100000473	TARA_068_SRF_0.22-3
TARA_B100000444	TARA_070_MES_0.22-3
TARA_B100000457	TARA_070_SRF_0.22-3
TARA_B100000436	TARA_071_SRF_0.22-3
TARA_B100000422	TARA_072_DCM_0.22-3
TARA_B100000420	TARA_072_SRF_0.22-3
TARA_B100000515	TARA_076_DCM_0.22-3
TARA_B100000747	TARA_076_MES_0.22-3
TARA_B100000513	TARA_076_SRF_0.22-3
TARA_B100000526	TARA_078_DCM_0.22-3
TARA_B100000524	TARA_078_SRF_0.22-3
TARA_B100000713	TARA_080_SRF_0.22-3
TARA_B100000834	TARA_081_DCM_0.22-3
TARA_B100000832	TARA_081_SRF_0.22-3
TARA_B100000767	TARA_082_DCM_0.22-3
TARA_B100000768	TARA_082_SRF_0.22-3
TARA_B100000765	TARA_083_SRF_0.22-3
TARA_B100000780	TARA_084_SRF_0.22-3
TARA_B100000795	TARA_085_DCM_0.22-3
TARA_B100000787	TARA_085_SRF_0.22-3
TARA_B100000813	TARA_086_DCM_0.22-3
TARA_B100000811	TARA_086_SRF_0.22-3
TARA_B100000562	TARA_087_SRF_0.22-3
TARA_B100000851	TARA_088_SRF_0.22-3
TARA_B100000858	TARA_089_SRF_0.22-3
TARA_B100000801	TARA_090_SRF_0.22-3
TARA_B100000865	TARA_091_SRF_0.22-3
TARA_B100000872	TARA_092_SRF_0.22-3
TARA_B100001061	TARA_093_DCM_0.22-3
TARA_B100001064	TARA_093_SRF_0.22-3
TARA_B100000987	TARA_096_DCM_0.22-3
TARA_B100000986	TARA_096_SRF_0.22-3
TARA_B100000973	TARA_097_DCM_0.22-3
TARA_B100001000	TARA_097_MES_0.22-3
TARA_B100000994	TARA_097_SRF_0.22-3
TARA_B100001033	TARA_098_DCM_0.22-3
TARA_B100001010	TARA_098_MES_0.22-3
TARA_B100001031	TARA_098_SRF_0.22-3
TARA_B100000885	TARA_099_SRF_0.22-3
TARA_B100000965	TARA_100_DCM_0.22-3
TARA_B100000959	TARA_100_MES_0.22-3
TARA_B100000963	TARA_100_SRF_0.22-3
TARA_B100000902	TARA_102_DCM_0.22-3
TARA_B100000953	TARA_102_MES_0.22-3
TARA_B100000900	TARA_102_SRF_0.22-3
TARA_B100000918	TARA_106_DCM_0.22-3
TARA_B100000920	TARA_106_MES_0.22-3
TARA_B100000916	TARA_106_SRF_0.22-3
TARA_B100000927	TARA_109_DCM_0.22-3
TARA_B100000929	TARA_109_MES_0.22-3
TARA_B100000925	TARA_109_SRF_0.22-3
TARA_B100001111	TARA_110_DCM_0.22-3
TARA_B100001076	TARA_110_MES_0.22-3
TARA_B100001107	TARA_110_SRF_0.22-3
TARA_B100000579	TARA_111_DCM_0.22-3
TARA_B100000575	TARA_111_SRF_0.22-3
TARA_B100000943	TARA_112_DCM_0.22-3
TARA_B100000939	TARA_112_SRF_0.22-3
TARA_B100000593	TARA_113_SRF_0.22-3
TARA_B100000700	TARA_122_DCM_0.22-3
TARA_B100000678	TARA_122_MES_0.22-3
TARA_B100001115	TARA_122_SRF_0.22-3
TARA_B100000686	TARA_123_MIX_0.22-3
TARA_B100000683	TARA_123_SRF_0.22-3
TARA_B100000676	TARA_124_MIX_0.22-3
TARA_B100000674	TARA_124_SRF_0.22-3
TARA_B100001123	TARA_125_MIX_0.22-3
TARA_B100001121	TARA_125_SRF_0.22-3
TARA_B100001230	TARA_127_DCM_0.22-3
TARA_B100001228	TARA_127_SRF_0.22-3
TARA_B100000611	TARA_128_DCM_0.22-3
TARA_B100000603	TARA_128_SRF_0.22-3
TARA_B100000624	TARA_129_DCM_0.22-3
TARA_B100000622	TARA_129_SRF_0.22-3
TARA_B100000639	TARA_131_DCM_0.22-3
TARA_B100000651	TARA_131_MES_0.22-3
TARA_B100000637	TARA_131_SRF_0.22-3
TARA_B100000660	TARA_132_DCM_0.22-3
TARA_B100001242	TARA_132_MES_0.22-3
TARA_B100000658	TARA_132_SRF_0.22-3
TARA_B100001090	TARA_133_DCM_0.22-3
TARA_B100001089	TARA_133_SRF_0.22-3
TARA_B100001261	TARA_134_SRF_0.22-3
TARA_B100001263	TARA_135_DCM_0.22-3
TARA_B100001275	TARA_135_SRF_0.22-3
TARA_B100001977	TARA_136_SRF_0.22-3
TARA_B100001964	TARA_137_DCM_0.22-3
TARA_B100001971	TARA_137_MES_0.22-3
TARA_B100001287	TARA_137_SRF_0.22-3
TARA_B100001996	TARA_138_DCM_0.22-3
TARA_B100002003	TARA_138_MES_0.22-3
TARA_B100001989	TARA_138_SRF_0.22-3
TARA_B100002010	TARA_139_SRF_0.22-3
TARA_B100002017	TARA_140_SRF_0.22-3
TARA_B100001937	TARA_141_SRF_0.22-3
TARA_B100002056	TARA_142_DCM_0.22-3
TARA_B100002046	TARA_142_MES_0.22-3
TARA_B100002054	TARA_142_SRF_0.22-3
TARA_B100001217	TARA_143_DCM_0.22-3
TARA_B100001215	TARA_143_SRF_0.22-3
TARA_B100001196	TARA_144_SRF_0.22-3
TARA_B100001139	TARA_145_MES_0.22-3
TARA_B100001135	TARA_145_SRF_0.22-3
TARA_B100001158	TARA_147_SRF_0.22-3
"TARA_B100001741,B100001742"	TARA_148_SRF_0.22-3
TARA_B100001750	TARA_148b_MES_0.22-3
TARA_B100001765	TARA_149_MES_0.22-3
TARA_B100001758	TARA_149_SRF_0.22-3
TARA_B100001776	TARA_150_DCM_0.22-3
"TARA_B100001769,B100001770"	TARA_150_SRF_0.22-3
TARA_B100001557	TARA_151_DCM_0.22-3
"TARA_B100001564,B100001565"	TARA_151_SRF_0.22-3
"TARA_B100001171,B100001802,B100002031"	TARA_152_MXL_0.22-3
TARA_B100001297	TARA_152_SRF_0.22-3
"TARA_B100002033,B100001788"	TARA_153_MXL_0.22-3
TARA_B110001437	TARA_155_DCM_0.22-3
TARA_B110001435	TARA_155_SRF_0.22-3
TARA_B110001446	TARA_158_DCM_0.22-3
TARA_B110001444	TARA_158_SRF_0.22-3
TARA_B110000200	TARA_163_MES_0.22-3
TARA_B110001467	TARA_163_SRF_0.22-3
TARA_B110000044	TARA_168_DCM_0.22-3
TARA_B110000035	TARA_168_IZZ_0.22-3
TARA_B110000023	TARA_168_SRF_0.22-3
TARA_B110000085	TARA_173_DCM_0.22-3
TARA_B110000083	TARA_173_SRF_0.22-3
TARA_B110000122	TARA_175_IZZ_0.22-3
TARA_B110000110	TARA_175_SRF_0.22-3
TARA_B110000112	TARA_175_ZZZ_0.22-3
TARA_B110000204	TARA_178_SRF_0.22-3
TARA_B110000501	TARA_180_SRF_0.22-3
TARA_B110000206	TARA_180_ZZZ_0.22-3
TARA_B110000235	TARA_188_DCM_0.22-3
TARA_B110000233	TARA_188_SRF_0.22-3
TARA_B110000255	TARA_189_DCM_0.22-3
TARA_B110000253	TARA_189_SRF_0.22-3
TARA_B110000257	TARA_189_ZZZ_0.22-3
TARA_B110000283	TARA_191_SRF_0.22-3
TARA_B110000975	TARA_193_SRF_0.22-3
TARA_B110000966	TARA_194_DCM_0.22-3
TARA_B110000969	TARA_194_SRF_0.22-3
TARA_B110000303	TARA_196_SRF_0.22-3
TARA_B110000906	TARA_201_DCM_0.22-3
TARA_B110000901	TARA_201_SRF_0.22-3
TARA_B110000875	TARA_205_SRF_0.22-3
TARA_B110000494	TARA_206_MES_0.22-3
TARA_B110000481	TARA_206_SRF_0.22-3
TARA_B110000857	TARA_208_SRF_0.22-3
TARA_B110000465	TARA_209_MES_0.22-3
TARA_B110000457	TARA_209_SRF_0.22-3
TARA_B110000436	TARA_210_MES_0.22-3
TARA_B110000442	TARA_210_SRF_0.22-3
