sample	mg_median
TARA_A100000165	147.027917656116
TARA_A100000220	2203.37216078408
TARA_A100001026	1732.546955669
TARA_A100001195	1747.40334616682
TARA_A100001401	2386.6716146179
TARA_A200000327	3526.72037639839
TARA_A200000369	2702.97483231398
TARA_B100000071	4855.08479817145
TARA_B100000089	3667.70733661488
TARA_B100000091	3924.54653371411
TARA_B100000101	5811.90948323686
TARA_B100000110	1906.54632840302
TARA_B100000116	8908.92379162714
TARA_B100000120	4710.46937255464
TARA_B100000127	1919.55854785254
TARA_B100000133	1397.67810587116
TARA_B100000143	2023.14852196084
TARA_B100000178	2104.54621633359
TARA_B100000194	1931.13835729666
TARA_B100000212	1691.61171392292
TARA_B100000214	2400.61006692873
TARA_B100000236	1909.93533262199
TARA_B100000248	2499.08689491632
TARA_B100000261	2272.24470335072
TARA_B100000267	2009.98382830498
TARA_B100000282	5067.3932113373
TARA_B100000287	3280.22745743982
TARA_B100000315	2736.78503086978
TARA_B100000353	1238.0756208652
TARA_B100000355	1422.68801551213
TARA_B100000420	810.560415790283
TARA_B100000422	1631.5679880804
TARA_B100000436	2245.87506414127
TARA_B100000444	3089.24677142195
TARA_B100000457	1637.29520020344
TARA_B100000473	1491.86716722655
TARA_B100000480	2537.46452045162
TARA_B100000493	1215.13813309015
TARA_B100000513	1266.44969874684
TARA_B100000515	1589.50711334937
TARA_B100000524	1228.91835633715
TARA_B100000526	1895.87286678561
TARA_B100000562	2534.22766781372
TARA_B100000575	1610.76823535209
TARA_B100000579	1547.13224009065
TARA_B100000593	1270.64386362432
TARA_B100000603	1272.44389463826
TARA_B100000611	3173.47390863429
TARA_B100000622	2179.14203632269
TARA_B100000624	1249.66512940386
TARA_B100000637	1673.82091526093
TARA_B100000639	1301.22847984676
TARA_B100000651	1726.33866179978
TARA_B100000658	979.069260221765
TARA_B100000660	943.696314474035
TARA_B100000674	890.605103647819
TARA_B100000676	2335.92024373254
TARA_B100000678	5864.0435714926
TARA_B100000683	1415.24692216513
TARA_B100000686	2891.72026318044
TARA_B100000700	3402.18869757527
TARA_B100000713	2478.93640995155
TARA_B100000747	1941.41278288664
TARA_B100000765	2142.34298633788
TARA_B100000767	2210.16903225128
TARA_B100000768	1666.89242702913
TARA_B100000780	1667.86306046738
TARA_B100000787	1576.62479481242
TARA_B100000795	1055.20896554552
TARA_B100000801	1507.23494951257
TARA_B100000811	2605.60824442282
TARA_B100000813	1459.11744333436
TARA_B100000832	1174.51016848225
TARA_B100000834	2273.50709983688
TARA_B100000851	1756.64959627541
TARA_B100000858	1991.65503997767
TARA_B100000865	790.57783157478
TARA_B100000872	1642.37490576234
TARA_B100000885	1821.18047387625
TARA_B100000900	1399.79157823922
TARA_B100000902	1558.86582013242
TARA_B100000916	1005.59622633023
TARA_B100000918	981.186359883297
TARA_B100000920	1646.36635899972
TARA_B100000925	1496.08721118795
TARA_B100000927	1344.96701810605
TARA_B100000929	3947.58924316971
TARA_B100000939	560.531707483597
TARA_B100000943	770.138165589054
TARA_B100000953	2714.77083678569
TARA_B100000959	4186.90794894549
TARA_B100000963	1070.3740733786
TARA_B100000965	2151.37837125518
TARA_B100000973	1262.93645725982
TARA_B100000986	1376.78436119566
TARA_B100000987	1078.29824779542
TARA_B100000994	948.30904079007
TARA_B100001000	1812.79417520939
TARA_B100001010	2337.34877910475
TARA_B100001031	1241.58174505678
TARA_B100001033	721.821343046306
TARA_B100001061	3180.40497304008
TARA_B100001064	1700.06751602943
TARA_B100001076	1788.74973154688
TARA_B100001089	2762.39473631221
TARA_B100001090	2984.48500536753
TARA_B100001107	333.77832173975
TARA_B100001111	796.635460574983
TARA_B100001115	1215.83966873809
TARA_B100001121	1338.42403212068
TARA_B100001123	3426.85318900925
TARA_B100001135	2330.47097173109
TARA_B100001139	195.413746803139
TARA_B100001158	843.758135110265
TARA_B100001171	10402.462878212
TARA_B100001196	1267.7429553256
TARA_B100001215	3701.65959253169
TARA_B100001217	1264.25835327042
TARA_B100001228	1455.46477991886
TARA_B100001230	1084.66666528653
TARA_B100001242	2480.85618928717
TARA_B100001261	2059.40876551132
TARA_B100001263	2950.43513920927
TARA_B100001275	2231.89023920388
TARA_B100001287	1274.99348454162
TARA_B100001297	2261.57385697593
TARA_B100001557	2012.53762359684
TARA_B100001564	2188.08155123525
TARA_B100001741	2123.92931304377
TARA_B100001750	1838.7227185531
TARA_B100001758	1507.56157414253
TARA_B100001765	1865.33826780514
TARA_B100001769	2279.21006668363
TARA_B100001776	2078.66310501264
TARA_B100001937	4637.6602754313
TARA_B100001964	3788.02925695163
TARA_B100001971	3264.45198454417
TARA_B100001977	1818.85139427679
TARA_B100001989	1394.42962913259
TARA_B100001996	1108.95995521668
TARA_B100002003	2111.51491204446
TARA_B100002010	2523.73505364358
TARA_B100002017	1794.09742855172
TARA_B100002033	4326.56409951138
TARA_B100002046	2124.36072068307
TARA_B100002054	1731.61937176313
TARA_B100002056	1718.00366350091
TARA_B110000023	4025.18457243442
TARA_B110000035	2217.00217313748
TARA_B110000044	2664.3136916938
TARA_B110000083	3295.97262000942
TARA_B110000085	3764.92100542865
TARA_B110000110	4576.18335082914
TARA_B110000112	2511.61701604376
TARA_B110000122	2965.46884974152
TARA_B110000200	1171.28768620586
TARA_B110000204	2352.16338037183
TARA_B110000206	2367.71987378217
TARA_B110000233	3242.54414989768
TARA_B110000235	2466.56722640107
TARA_B110000253	2909.6336825011
TARA_B110000255	2305.67233159531
TARA_B110000257	1076.86431789288
TARA_B110000283	1252.04980893067
TARA_B110000303	1414.71663534664
TARA_B110000436	1292.18842866169
TARA_B110000442	1011.46109140229
TARA_B110000457	1815.20763501947
TARA_B110000465	715.479109243092
TARA_B110000481	1852.01031177278
