OMRGC_ID	TARA_X000000368	TARA_Y200000002	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001388	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_Y100000022	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_Y100000287	TARA_B100000085	TARA_Y100000031	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000579	TARA_B100000586	TARA_B100000575	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100001175	TARA_B100001173	TARA_B110000008	TARA_B110000014	TARA_B110000003	TARA_B110001452	TARA_B110001454	TARA_B110001450	TARA_B110000196	TARA_B110001469	TARA_B110000046	TARA_B110000037	TARA_B110000027	TARA_B110000093	TARA_B110000091	TARA_B110000090	TARA_B110000114	TARA_B110000116	TARA_B110000208	TARA_B110000503	TARA_B110000211	TARA_B110000240	TARA_B110000238	TARA_B110000261	TARA_B110000263	TARA_B110000259	TARA_B110000285	TARA_B110000977	TARA_B110000967	TARA_B110000971	TARA_B110000305	TARA_B110000908	TARA_B110000914	TARA_B110000902	TARA_B110000881	TARA_B110000879	TARA_B110000495	TARA_B110000483	TARA_B110000858	TARA_B110000467	TARA_B110000459	TARA_B110000438	TARA_B110000444
OM-RGC.v2.015560861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.585949177877429	0	6.51420029895366	0	1.50373692077728	0	0	3.01494768310912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009046111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45360824742268	0	1.60481099656357	0	0	2.07560137457045	13.6494845360825	3.1008018327606	0	0.447880870561283	0	0	0.451317296678121	0.198167239404353	0	0	0	0	0	0	0.373424971363116	0	0.0355097365406644	1.04009163802978	0	0	0	0	0	0.193585337915235	0	1.67468499427262	0	1.36540664375716	1.0389461626575	0.452462772050401	1.47422680412371	2.48109965635739	0	1.00687285223368	3.46277205040092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02863688430699	0	7.08591065292096	0.230240549828179	0	0	0.0847651775486827	0.124856815578465	0	0.231386025200458	0.187857961053837	0.20504009163803	2.47995418098511	0	1.2176403207331	0	0.224513172966781	0	3.27605956471936	0	0	0	0.998854524627721	1.55441008018328	0	0	1.64833906071019	0	1.36082474226804	10.1660939289805	0	10.2220884231904	9.51660939289805	0.442153493699885	2.18556701030928	0	0	0.646048109965636	0	0	0	0	0	0	0	0	0	2.86368843069874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008781354	0.170621468926554	0.178531073446328	0	0	0	0.151412429378531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280225988700565	0.207909604519774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533333333333333	0	0	0	0	0	0.171751412429379	0	0	0	0	0	0	0	0	0	0	0	0.168361581920904	0.101694915254237	0	0	0	0.0711864406779661	0.00338983050847458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218532469335869	0	0.0553672316384181	0	0	0.0518756044179773	0	0	0	0	0.163841807909605	0.192090395480226	0	0	0.684745762711864	0	0	0.290395480225989	0	0	0.798870056497175	0	0	0	0.096045197740113	0	0	0.0779661016949153	0	0.404519774011299	0	0.209039548022599	0.298305084745763	0.0598870056497175	0	0	0.141242937853107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011488497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128205128205128	0.243589743589744	0.0807692307692308	0	0	0	0	0	0.0628205128205128	0	0	0	0	0	0	0	0	0.630769230769231	0	0	0	0	0	0	0	0	0	0.473076923076923	0	0	0.252564102564103	0	0	0	0	0.0769230769230769	0	0	0.0717948717948718	0.407177903381738	0	0	0	0	0.0667821667821668	0	0	0	0	0.148717948717949	0.0666666666666667	0	0	0.424358974358974	0	0	1.13205128205128	0	0	0.201282051282051	0	0	0	0.25	0.0653846153846154	0	0.46025641025641	0	0.330769230769231	0	0	0.0641025641025641	0.307692307692308	0	0	0	0	0	0.720512820512821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009268969	0.896990740740741	0.747685185185185	0	0	0	0	0	0.0578703703703704	0	0	0	0	0	0	1.8287037037037	0	0.75462962962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248842592592593	0.226851851851852	25.7523148148148	0.199074074074074	8.625	118.460648148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008994097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191780821917808	0	0	0	0.313926940639269	0.628995433789954	0	0	0	0	0	0	0.350456621004566	0	1.5296803652968	0	0	0.197488584474886	0	2.35502283105023	2.55707762557078	5.34018264840183	0	0	1.02853881278539	0.841324200913242	11.9429223744292	0.449771689497717	1.85388127853881	28.0867579908676	1.75684931506849	5.41438356164384	0.215753424657534	0	0.197488584474886	2.74771689497717	0	0	0	0	0.45662100456621	0	0.0559360730593607	3.73401826484018	0	0.0422374429223744	8.7796803652968	0.179223744292237	18.2180365296804	0.860730593607306	27.2751141552511	0.017307499078943	2.51598173515982	2.36643835616438	4.76141552511416	0	0	2.33675799086758	1.07990867579909	2.43607305936073	2.04680365296804	0	0	0.228310502283105	0.180365296803653	3.4851598173516	5.06735159817352	2.30251141552511	0.218036529680365	0	0	0.436073059360731	0	0	0	11.4988584474886	1.87100456621005	0	0	0.504566210045662	0.277397260273973	0.179223744292237	0	0.213470319634703	0.223744292237443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009066319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184421534936999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166093928980527	0	0.210767468499427	0.225658648339061	0.581901489117984	0	0	31.6678121420389	0.187857961053837	0	0.473081328751432	0.399770904925544	4.71706758304696	1.53379152348225	36.4020618556701	0.187857961053837	1.20160366552119	4.72508591065292	0.225658648339061	0.744558991981672	2.14662084765178	2.12142038946163	0.22680412371134	2.2176403207331	0.786941580756014	0.328751431844215	0.901489117983963	1.80526918671249	2.92898052691867	0.672394043528064	0.305841924398625	0.22680412371134	0.224513172966781	5.71363115693013	0.187857961053837	0	0	0	0	0.190148911798396	0	1.43655991587028	1.37686139747995	0	0	0	0	0	0	0	0	0	0.0767468499427262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008863533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22108843537415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294784580498866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67573696145125	0.827664399092971	0	0	0.0566893424036281	0.333333333333333	0	0	0.164399092970522	0	0	0.224489795918367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013227150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267489711934156	0	0	0	0	0	0	0	0	0	0	0	0.252400548696845	1.1440329218107	0.245541838134431	0.526748971193416	0.718792866941015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137174211248285	1.01234567901235	0	0	1.53360768175583	0.251028806584362	0	0	0	0	0	0	0	0	0.691358024691358	0	0.264746227709191	0	0	0	0	0	0.94238683127572	0.366255144032922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008864361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54875283446712	0	8.0827664399093	0	1.78684807256236	0	0.863945578231292	0.222222222222222	0.319727891156463	0	0	0.158730158730159	0	0	0	0	0	0.333333333333333	0	0	0	0	0.563492063492063	0	0	0.222222222222222	0	0	0	0.113378684807256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
