Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.018340852	OM-RGC.v2.012971822	0.992136632168789	GC	NA
OM-RGC.v2.012971822	OM-RGC.v2.018340852	0.992136632168789	GC	NA
OM-RGC.v2.000330119	OM-RGC.v2.024344780	0.991839648746806	GC	NA
OM-RGC.v2.024344780	OM-RGC.v2.000330119	0.991839648746806	GC	NA
OM-RGC.v2.034328996	OM-RGC.v2.020470361	0.990675061505924	GC	NA
OM-RGC.v2.020470361	OM-RGC.v2.034328996	0.990675061505924	GC	NA
OM-RGC.v2.000035003	OM-RGC.v2.000293339	0.990286288556264	GC	NA
OM-RGC.v2.000293339	OM-RGC.v2.000035003	0.990286288556264	GC	NA
OM-RGC.v2.011618734	OM-RGC.v2.016737557	0.990169286679467	GC	NA
OM-RGC.v2.016737557	OM-RGC.v2.011618734	0.990169286679467	GC	NA
OM-RGC.v2.007891220	0Z6UH	0.990019640240267	OG	regulatory protein, arsR
OM-RGC.v2.000958603	OM-RGC.v2.029459104	0.989656132075848	GC	NA
OM-RGC.v2.029459104	OM-RGC.v2.000958603	0.989656132075848	GC	NA
OM-RGC.v2.029310508	OM-RGC.v2.018340852	0.989255904325788	GC	NA
OM-RGC.v2.010850912	OM-RGC.v2.016737557	0.989209684941452	GC	NA
OM-RGC.v2.000640380	OM-RGC.v2.001330931	0.989205675447158	GC	NA
OM-RGC.v2.001330931	OM-RGC.v2.000640380	0.989205675447158	GC	NA
OM-RGC.v2.011021245	OM-RGC.v2.002145431	0.988579674147977	GC	NA
OM-RGC.v2.002145431	OM-RGC.v2.011021245	0.988579674147977	GC	NA
OM-RGC.v2.002735613	OM-RGC.v2.020470361	0.988085345294173	GC	NA
OM-RGC.v2.025599930	OM-RGC.v2.029895350	0.987863297447232	GC	NA
OM-RGC.v2.029895350	OM-RGC.v2.025599930	0.987863297447232	GC	NA
OM-RGC.v2.027024399	OM-RGC.v2.030341030	0.987815508929938	GC	NA
OM-RGC.v2.030341030	OM-RGC.v2.027024399	0.987815508929938	GC	NA
OM-RGC.v2.022730264	OM-RGC.v2.011021245	0.987683923684097	GC	NA
OM-RGC.v2.009254987	OM-RGC.v2.015430363	0.987592330387536	GC	NA
OM-RGC.v2.015430363	OM-RGC.v2.009254987	0.987592330387536	GC	NA
OM-RGC.v2.013658431	OM-RGC.v2.012264984	0.98759198132767	GC	NA
OM-RGC.v2.012264984	OM-RGC.v2.013658431	0.98759198132767	GC	NA
OM-RGC.v2.007681748	OM-RGC.v2.012264984	0.98731648900075	GC	NA
OM-RGC.v2.000742747	OM-RGC.v2.000640380	0.987219650727365	GC	NA
OM-RGC.v2.018851538	OM-RGC.v2.000366422	0.987165263031975	GC	NA
OM-RGC.v2.000366422	OM-RGC.v2.018851538	0.987165263031975	GC	NA
OM-RGC.v2.026613508	OM-RGC.v2.004046450	0.987116372577636	GC	NA
OM-RGC.v2.004046450	OM-RGC.v2.026613508	0.987116372577636	GC	NA
OM-RGC.v2.027298258	110XH	0.98706550668985	OG	NA
OM-RGC.v2.017702317	OM-RGC.v2.019369288	0.987036929394206	GC	NA
