Barcode	Sample_name_original	Sample_name_goodlayer	lower.size.fraction	upper.size.fraction	Genome_size	Latitude	Longitude	Depth.nominal	Layer	Temperature	Salinity	ChlorophyllA	Biogeographical.province	Eukaryota.prop
TARA_X000000368	TARA_004_DCM_0.22-1.6	TARA_004_DCM	0.22	1.6	1669.50931306738	36.5533	-6.5669	40	DCM	16.3584	36.5811	0.535777	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	0.0168348009461115
TARA_Y200000002	TARA_004_SRF_0.22-1.6	TARA_004_SRF	0.22	1.6	1661.29513374221	36.5533	-6.5669	9	SRF	20.238088	36.599199	0.180403	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	0.0143916848043353
TARA_A200000159	TARA_007_DCM_0.22-1.6	TARA_007_DCM	0.22	1.6	2104.24863058912	37.0541	1.9478	42	DCM	17.521075	37.1036	0.338691	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0123401685614514
TARA_A200000113	TARA_007_SRF_0.22-1.6	TARA_007_SRF	0.22	1.6	1451.28184981373	37.051	1.9378	9	SRF	23.8141	37.522	0.189348	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.00272636352427012
TARA_X000001036	TARA_009_DCM_0.22-1.6	TARA_009_DCM	0.22	1.6	1679.74116293687	39.0609	5.9422	55	DCM	15.9708	37.68195	0.442902	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0140633489947902
TARA_X000000950	TARA_009_SRF_0.22-1.6	TARA_009_SRF	0.22	1.6	1562.71707964461	39.1633	5.916	9	SRF	24.4828	37.8042	0.136232	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0662001941085434
TARA_S200000501	TARA_018_DCM_0.22-1.6	TARA_018_DCM	0.22	1.6	1710.93231314644	35.7528	14.2765	60	DCM	18.30575	37.84945	0.076875	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0134745882519262
TARA_A100000164	TARA_018_SRF_0.22-1.6	TARA_018_SRF	0.22	1.6	1668.66477756649	35.759	14.2574	5	SRF	21.48665	37.89575	0.013344	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.00560665723251092
TARA_E500000081	TARA_023_DCM_0.22-1.6	TARA_023_DCM	0.22	1.6	1678.77805812347	42.1735	17.7252	55	DCM	15.180558	38.47375	0.136877	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0218195053734603
TARA_E500000075	TARA_023_SRF_0.22-1.6	TARA_023_SRF	0.22	1.6	1488.95406963883	42.2038	17.715	5	SRF	17.211742	38.22805	0.103935	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0144260976651838
TARA_E500000331	TARA_025_DCM_0.22-1.6	TARA_025_DCM	0.22	1.6	2088.02676510868	39.3991	19.3997	50	DCM	15.181967	38.489083	0.134028	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0289436355292253
TARA_E500000178	TARA_025_SRF_0.22-1.6	TARA_025_SRF	0.22	1.6	1689.13106787753	39.3888	19.3905	5	SRF	18.319192	38.185333	0.104797	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0289633689759487
TARA_A100001011	TARA_030_DCM_0.22-1.6	TARA_030_DCM	0.22	1.6	1572.03984198942	33.9235	32.8118	70	DCM	18.61621	39.23456	0.091071	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0144871634882639
TARA_A100001015	TARA_030_SRF_0.22-1.6	TARA_030_SRF	0.22	1.6	1746.74178371787	33.9179	32.898	5	SRF	20.4425	39.42311	0.067706	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0.0114626954961114
TARA_A100001388	TARA_031_SRF_0.22-1.6	TARA_031_SRF	0.22	1.6	1869.84439168845	27.16	34.835	5	SRF	25.0281	39.96035	0.112855	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.0278708668453977
TARA_A100001037	TARA_032_DCM_0.22-1.6	TARA_032_DCM	0.22	1.6	1840.85552809217	23.4183	37.245	80	DCM	26.12925	40.187042	0.1566	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.0307737758191979
TARA_A100001035	TARA_032_SRF_0.22-1.6	TARA_032_SRF	0.22	1.6	2100.02006339549	23.36	37.2183	5	SRF	25.811708	39.7709	0.085486	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.0605556121813384
TARA_A100001234	TARA_033_SRF_0.22-1.6	TARA_033_SRF	0.22	1.6	1724.96645784306	21.9467	38.2517	5	SRF	27.3097	38.9435	0.150568	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.0246474289433717
TARA_B100000029	TARA_034_DCM_0.22-1.6	TARA_034_DCM	0.22	1.6	1692.02690985085	18.4417	39.8567	60	DCM	27.558763	38.895025	0.14795	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.145728726764872
TARA_B100000003	TARA_034_SRF_0.22-1.6	TARA_034_SRF	0.22	1.6	1767.25101721784	18.3967	39.875	5	SRF	27.635025	38.64	0.137257	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	0.0427933800634999
TARA_B100000035	TARA_036_DCM_0.22-1.6	TARA_036_DCM	0.22	1.6	2025.53644025944	20.8222	63.5133	17	DCM	25.329231	36.535819	0.24107	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	0.0208094216278257
TARA_Y100000022	TARA_036_SRF_0.22-1.6	TARA_036_SRF	0.22	1.6	2238.36334482774	20.8183	63.5047	5	SRF	25.681369	36.525962	0.205491	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	0.0112109418792742
TARA_B100000315	TARA_037_MES_0.22-1.6	TARA_037_MES	0.22	1.6	1984.48584681886	20.8457	63.5851	600	MES	11.984006	35.672725	0.008026	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	0.0032323957889066
TARA_B100000073	TARA_038_DCM_0.22-1.6	TARA_038_DCM	0.22	1.6	2246.19074732224	19.0284	64.5126	25	DCM	25.607735	36.549506	0.185922	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0364949704995672
TARA_Y100000294	TARA_038_MES_0.22-1.6	TARA_038_MES	0.22	1.6	1921.42762751891	19.0351	64.5638	340	MES	14.901445	36.014205	0.002565	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.00187549156028798
TARA_Y100000287	TARA_038_SRF_0.22-1.6	TARA_038_SRF	0.22	1.6	2094.73182970568	19.0393	64.4913	5	SRF	26.313595	36.618044	0.113641	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.021199872044668
TARA_B100000085	TARA_039_DCM_0.22-1.6	TARA_039_DCM	0.22	1.6	2627.95336276289	18.5839	66.4727	25	DCM	26.692435	36.40162	0.196803	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0462709663157313
TARA_Y100000031	TARA_039_MES_0.22-1.6	TARA_039_MES	0.22	1.6	2006.49212466324	18.7341	66.3896	270	MES	15.553795	35.907681	0.007712	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.00136298959035423
TARA_B100000287	TARA_041_DCM_0.22-1.6	TARA_041_DCM	0.22	1.6	2442.57845752476	14.5536	70.0128	60	DCM	27.374181	36.503531	0.166581	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0353812507547195
TARA_B100000282	TARA_041_SRF_0.22-1.6	TARA_041_SRF	0.22	1.6	1789.73963599742	14.6059	69.9776	5	SRF	29.151544	36.0499	0.092377	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0267604804521903
TARA_B100000131	TARA_042_DCM_0.22-1.6	TARA_042_DCM	0.22	1.6	2442.06025112959	5.9998	73.9067	80	DCM	27.9561	35.044342	0.228999	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0200109051254089
TARA_B100000123	TARA_042_SRF_0.22-1.6	TARA_042_SRF	0.22	1.6	1773.15300867955	6.0001	73.8955	5	SRF	30.12785	34.56775	0.080016	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0151688843398158
TARA_B100000161	TARA_045_SRF_0.22-1.6	TARA_045_SRF	0.22	1.6	1588.6823223708	0.0033	71.6428	5	SRF	30.59345	35.0481	0.058503	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0.0166104939711549
TARA_B100000242	TARA_048_SRF_0.22-1.6	TARA_048_SRF	0.22	1.6	1485.65632466275	-9.3921	66.4228	5	SRF	29.818108	34.184183	0.077086	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	0.0110907596232892
TARA_B100000214	TARA_052_DCM_0.22-1.6	TARA_052_DCM	0.22	1.6	1800.54748738435	-16.9534	53.9601	75	DCM	25.212642	34.896833	0.228414	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	0.0172348959639007
TARA_B100000212	TARA_052_SRF_0.22-1.6	TARA_052_SRF	0.22	1.6	1679.36357533177	-16.957	53.9801	5	SRF	27.956483	34.54545	0.134305	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	0.0120841441942359
TARA_B100000378	TARA_056_MES_0.22-3	TARA_056_MES	0.22	3	1723.43142831523	-15.3379	43.2948	1000	MES	6.195775	34.8293	0	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0465704754133917
TARA_B000000609	TARA_056_SRF_0.22-3	TARA_056_SRF	0.22	3	1687.96833070912	-15.3424	43.2965	5	SRF	27.296125	35.0302	0.098701	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0391631993948035
TARA_B000000565	TARA_057_SRF_0.22-3	TARA_057_SRF	0.22	3	1718.1448556843	-17.0248	42.7401	5	SRF	26.553475	35.124517	0.140592	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0268200393522022
TARA_B000000557	TARA_058_DCM_0.22-3	TARA_058_DCM	0.22	3	1852.93584961415	-17.2855	42.2866	66	DCM	25.113925	35.162694	0.197343	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0216872558335973
TARA_B000000532	TARA_062_SRF_0.22-3	TARA_062_SRF	0.22	3	1757.78282139033	-22.3368	40.3412	5	SRF				[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0399455095003619
TARA_B100000405	TARA_064_DCM_0.22-3	TARA_064_DCM	0.22	3	1802.77676312737	-29.5333	37.9117	65	DCM	22.215305	35.346195	0.121203	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0428275044457617
TARA_B100000408	TARA_064_MES_0.22-3	TARA_064_MES	0.22	3	1582.43786902741	-29.5046	37.9599	1000	MES	7.552017	34.572658	0	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0687788125367408
TARA_B100000401	TARA_064_SRF_0.22-3	TARA_064_SRF	0.22	3	1571.09448843643	-29.5019	37.9889	5	SRF	22.2414	35.32467	0.136664	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.03402799778767
TARA_B000000441	TARA_065_DCM_0.22-3	TARA_065_DCM	0.22	3	1578.99668989353	-35.2421	26.3048	30	DCM	21.72823	35.451512	0.177651	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0504104909717864
TARA_B000000460	TARA_065_MES_0.22-3	TARA_065_MES	0.22	3	1590.96108972657	-35.1889	26.2905	850	MES	8.33035	34.630583	0	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0895066279965262
TARA_B000000437	TARA_065_SRF_0.22-3	TARA_065_SRF	0.22	3	1620.42898484878	-35.1728	26.2868	5	SRF	21.76357	35.449638	0.176479	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0.0514416775884666
TARA_B000000477	TARA_066_DCM_0.22-3	TARA_066_DCM	0.22	3	1513.50637560253	-34.8901	18.0459	30	DCM	15.014	35.32305	0.221666	[BENG] Benguela Current Coastal Province (MRGID:21470)	0.0773384471751912
TARA_B000000475	TARA_066_SRF_0.22-3	TARA_066_SRF	0.22	3	1528.92223960281	-34.9449	17.9189	5	SRF	15.013362	35.3233	0.221666	[BENG] Benguela Current Coastal Province (MRGID:21470)	0.0612940820995381
TARA_B100000497	TARA_067_SRF_0.22-3	TARA_067_SRF	0.22	3	2341.08319206708	-32.2401	17.7103	5	SRF	13.04322	34.870735	0.765222	[BENG] Benguela Current Coastal Province (MRGID:21470)	0.14367621498386
TARA_B100000482	TARA_068_DCM_0.22-3	TARA_068_DCM	0.22	3	1803.64721130043	-31.027	4.6802	50	DCM	16.74878	35.68407	0.325714	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.120812454961372
TARA_B100000470	TARA_068_MES_0.22-3	TARA_068_MES	0.22	3	1625.53539457796	-31.0198	4.6685	700	MES	7.32145	34.50494	0	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.113280339503444
TARA_B100000475	TARA_068_SRF_0.22-3	TARA_068_SRF	0.22	3	1759.99619901502	-31.0266	4.665	5	SRF	16.8632	35.686585	0.309005	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.106046931407942
TARA_B100000446	TARA_070_MES_0.22-3	TARA_070_MES	0.22	3	2140.87266412042	-20.4075	-3.1641	800	MES	4.188237	34.446963	0	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.12309489419806
TARA_B100000459	TARA_070_SRF_0.22-3	TARA_070_SRF	0.22	3	1910.81488169536	-20.4091	-3.1759	5	SRF	19.77001	36.35839	0.117466	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.201336606093109
TARA_B100000427	TARA_072_DCM_0.22-3	TARA_072_DCM	0.22	3	1830.27987904461	-8.7296	-17.9604	100	DCM	23.630095	36.588225	0.242586	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.0436120564918788
TARA_B100000508	TARA_072_MES_0.22-3	TARA_072_MES	0.22	3	1979.52255289285	-8.7986	-17.9034	800	MES	4.641719	34.476312	0	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.120789691809208
TARA_B100000424	TARA_072_SRF_0.22-3	TARA_072_SRF	0.22	3	2410.92158677384	-8.7789	-17.9099	5	SRF	25.064425	36.41678	0.104143	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.116712925552472
TARA_B100000519	TARA_076_DCM_0.22-3	TARA_076_DCM	0.22	3	2580.68421450386	-21.0292	-35.3498	150	DCM	21.16596	36.61951	0.103558	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.229208189889473
TARA_B100000749	TARA_076_MES_0.22-3	TARA_076_MES	0.22	3	1736.01057527919	-20.9315	-35.1794	800	MES	4.664275	34.369569	0	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.0622916756850353
TARA_B100000513	TARA_076_SRF_0.22-3	TARA_076_SRF	0.22	3	1964.44252320013	-20.9354	-35.1803	5	SRF	23.374825	37.076575	0.055113	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.196352986682876
TARA_B100000530	TARA_078_DCM_0.22-3	TARA_078_DCM	0.22	3	1716.57308517156	-30.1484	-43.2705	120	DCM	19.32335	36.27746	0.16855	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.0937188106649703
TARA_B100000745	TARA_078_MES_0.22-3	TARA_078_MES	0.22	3	1553.7793239245	-30.1471	-43.2915	800	MES	5.823213	34.355	0	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.0752648581880374
TARA_B100000524	TARA_078_SRF_0.22-3	TARA_078_SRF	0.22	3	1710.45162455482	-30.1367	-43.2899	5	SRF	20.07775	36.32553	0.066207	[SATL] South Atlantic Gyral Province (MRGID:21459)	0.0878063081771762
TARA_B100000767	TARA_082_DCM_0.22-3	TARA_082_DCM	0.22	3	1763.45395576956	-47.2007	-57.9446	40	DCM	7.154875	34.05055	0.507313	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	0.0895554965637259
TARA_B100000768	TARA_082_SRF_0.22-3	TARA_082_SRF	0.22	3	1958.61138115437	-47.1863	-58.2902	5	SRF	7.579417	34.05025	0.426587	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	0.157637335093961
TARA_B100000780	TARA_084_SRF_0.22-3	TARA_084_SRF	0.22	3	1792.8337642949	-60.2287	-60.6476	5	SRF	1.9034	33.7198	0.207979	[ANTA] Antarctic Province (MRGID:21502)	0.220022812173735
TARA_B100000795	TARA_085_DCM_0.22-3	TARA_085_DCM	0.22	3	1712.05729637096	-62.2231	-49.2139	90	DCM	-0.792395	34.36258	0.289537	[ANTA] Antarctic Province (MRGID:21502)	0.229196359362889
TARA_B100000809	TARA_085_MES_0.22-3	TARA_085_MES	0.22	3	2038.58908961479	-61.9689	-49.5017	790	MES	0.456763	34.6802	0	[ANTA] Antarctic Province (MRGID:21502)	0.177825746792727
TARA_B100000787	TARA_085_SRF_0.22-3	TARA_085_SRF	0.22	3	1466.26427188117	-62.0385	-49.529	5	SRF	0.73159	34.327465	0.276495	[ANTA] Antarctic Province (MRGID:21502)	0.110598634989983
TARA_B100001059	TARA_093_DCM_0.22-3	TARA_093_DCM	0.22	3	1872.80151914592	-33.9116	-73.0537	35	DCM	15.376875	34.22887	0.484784	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	0.0014923194212396
TARA_B100001063	TARA_093_SRF_0.22-3	TARA_093_SRF	0.22	3	1733.77397414696	-34.0614	-73.1066	5	SRF	18.122955	34.31598	0.361109	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	0.00137526772629918
TARA_B100001057	TARA_094_SRF_0.22-3	TARA_094_SRF	0.22	3	1586.3023380684	-32.7971	-87.0693	5	SRF	21.121575	34.682538	0.147303	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.00555467260012715
TARA_B100000989	TARA_096_SRF_0.22-3	TARA_096_SRF	0.22	3	1439.57607761347	-29.7238	-101.1604	5	SRF	23.84533	35.76868	0.070669	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0285238453503576
TARA_B100001029	TARA_098_DCM_0.22-3	TARA_098_DCM	0.22	3	1633.28131602978	-25.826	-111.7294	188	DCM	20.2127	35.86191	0.115489	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0408296882400468
TARA_B100001013	TARA_098_MES_0.22-3	TARA_098_MES	0.22	3	1565.2239845223	-25.8076	-111.6906	488	MES	7.96837	34.3655	0	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.072919599404738
TARA_B100001027	TARA_098_SRF_0.22-3	TARA_098_SRF	0.22	3	1440.26314559311	-25.8051	-111.7202	5	SRF	25.18103	36.40163	0.060509	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0419459430003815
TARA_B100000886	TARA_099_SRF_0.22-3	TARA_099_SRF	0.22	3	1485.97552878655	-21.146	-104.787	5	SRF	23.88925	36.1376	0.091415	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0333367822038283
TARA_B100000965	TARA_100_DCM_0.22-3	TARA_100_DCM	0.22	3	1780.54894044467	-12.9723	-96.0122	50	DCM	22.596675	35.64227	0.258187	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0266905657420467
TARA_B100000959	TARA_100_MES_0.22-3	TARA_100_DCM	0.22	3	1820.44618548583	-12.9794	-96.0232	177	DCM	12.806365	34.82775	0.019279	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0109643564542323
TARA_B100000963	TARA_100_SRF_0.22-3	TARA_100_SRF	0.22	3	1679.18319557239	-13.0023	-95.9759	5	SRF	25.349495	35.82876	0.227673	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.00942966660871437
TARA_B100000902	TARA_102_DCM_0.22-3	TARA_102_DCM	0.22	3	2082.14439714468	-5.2669	-85.2732	40	DCM	19.781235	34.884385	0.365239	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	0.0152072936834738
TARA_B100000953	TARA_102_MES_0.22-3	TARA_102_MES	0.22	3	1497.07579684877	-5.261	-85.1678	480	MES	9.137438	34.692094	0	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	0.062114051126367
TARA_B100000900	TARA_102_SRF_0.22-3	TARA_102_SRF	0.22	3	1810.47152383277	-5.2529	-85.1545	5	SRF	24.958885	34.764535	0.264409	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	0.023987421721719
TARA_B100000927	TARA_109_DCM_0.22-3	TARA_109_DCM	0.22	3	1843.32462095845	2.0299	-84.5546	30	DCM	26.019185	34.475915	0.329704	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	0.0333717653087369
TARA_B100000929	TARA_109_MES_0.22-3	TARA_109_MES	0.22	3	1783.51494111339	2.0649	-84.5546	380	MES	11.142362	34.791419	0	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	0.0879204496325119
TARA_B100000925	TARA_109_SRF_0.22-3	TARA_109_SRF	0.22	3	1702.33919312802	1.9928	-84.5766	5	SRF	27.497475	33.472445	0.272009	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	0.0223964078740892
