Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.010451177	0XV7N	0.926218553	OG		Amino acid transport and metabolism
OM-RGC.v2.000878326	11FZJ	0.909924549	OG	amino acid ABC transporter	Amino acid transport and metabolism
OM-RGC.v2.004080227	0ZW42	0.88093042	OG	Zinc carboxypeptidase	Amino acid transport and metabolism
OM-RGC.v2.039943355	0XV7N	0.869346958	OG		Amino acid transport and metabolism
OM-RGC.v2.034979443	0ZVEM	0.958288014	OG	Major Facilitator superfamily	Carbohydrate transport and metabolism
OM-RGC.v2.010031006	0XQRZ	0.918515833	OG	Major Facilitator	Carbohydrate transport and metabolism
OM-RGC.v2.002037872	0YD5D	0.912280519	OG	Major facilitator superfamily MFS_1	Carbohydrate transport and metabolism
OM-RGC.v2.032692551	0ZVEM	0.905295095	OG	Major Facilitator superfamily	Carbohydrate transport and metabolism
OM-RGC.v2.003121130	11XXW	0.904677337	OG	Major facilitator superfamily MFS_1	Carbohydrate transport and metabolism
OM-RGC.v2.001423863	117U2	0.894644506	OG	transport	Carbohydrate transport and metabolism
OM-RGC.v2.038965438	11TC9	0.865833459	OG	Major Facilitator Superfamily	Carbohydrate transport and metabolism
OM-RGC.v2.028031674	0ZVEM	0.861072085	OG	Major Facilitator superfamily	Carbohydrate transport and metabolism
OM-RGC.v2.029999722	0YXU9	0.895565176	OG		Cell wall/membrane/envelope biogenesis
OM-RGC.v2.038435868	0YK4P	0.894565932	OG	OmpA-like transmembrane domain	Cell wall/membrane/envelope biogenesis
OM-RGC.v2.040438129	11N4R	0.893595433	OG	Glycosyltransferase family 9 (heptosyltransferase)	Cell wall/membrane/envelope biogenesis
OM-RGC.v2.001166297	0ZWQI	0.883346397	OG	Rod shape-determining protein	Cell wall/membrane/envelope biogenesis
OM-RGC.v2.029524626	0YFUV	0.880226525	OG		Cell wall/membrane/envelope biogenesis
OM-RGC.v2.013152062	0ZK1H	0.874539967	OG		Cell wall/membrane/envelope biogenesis
OM-RGC.v2.004630376	0YFUV	0.865723456	OG		Cell wall/membrane/envelope biogenesis
OM-RGC.v2.039985257	0ZS5W	0.864976296	OG	D-Ala-D-Ala carboxypeptidase 3 (S13) family	Cell wall/membrane/envelope biogenesis
OM-RGC.v2.033785962	0ZS5W	0.861295779	OG	D-Ala-D-Ala carboxypeptidase 3 (S13) family	Cell wall/membrane/envelope biogenesis
OM-RGC.v2.003878198	0Y6B5	0.890778673	OG	Leucine zipper protein 1	Cytoskeleton
OM-RGC.v2.018135974	0Y6B5	0.888375258	OG	Leucine zipper protein 1	Cytoskeleton
OM-RGC.v2.027129595	0Y6B5	0.881150357	OG	Leucine zipper protein 1	Cytoskeleton
OM-RGC.v2.007872163	0Y6B5	0.875184316	OG	Leucine zipper protein 1	Cytoskeleton
