	HCO3	CO3	Carbon.total	Alkalinity.total	NO2	PO4	NO2NO3	Si	Temperature	Salinity	Density	Oxygen	NO3	ChlorophyllA	Fluorescence	PAR.TO	Iron.5m	Ammonium.5m	Gradient.Surface.temp(SST)	Okubo.Weiss	Lyapunov	Residence.time	Depth.Mixed.Layer	Brunt.Väisälä	Depth.Max.O2	Depth.Min.O2	Nitracline
HCO3	1	0.0666916984529773	0.926301488244268	0.617061773962005	-0.0428107721009579	-0.00558108087668067	-0.0599555566547985	-0.0250146318331768	-0.362584385211543	-0.135947674505958	0.225075456680413	0.360617170294505	-0.00457872722206782	0.549378139735276	0.141435670545627	-0.19001819398077	0.158688588110464	-0.0340990924959711	0.430293254076014	0.0309631170684285	-0.204181671763438	-0.131726815102576	-0.0657627165532468	-0.21495042739244	-0.0962454529138591	-0.16701517638557	-0.141802857320627
CO3	0.0666916984529773	1	0.0604554264568299	0.414811339126799	0.187415660121441	0.107539403313951	0.101524665013954	-0.0702878681712509	0.0735091395577425	0.0719427248241391	0.0946296557292137	-0.243303980507462	0.0695621731719694	-0.039971198736699	-0.0252839734130977	-0.347548415971755	-0.179813042968178	0.324477059445112	-0.0694532590071423	-0.187873371409298	0.227248358144136	0.183325561295417	0.0379695524985158	0.164310993467526	0.0142005590130678	0.0450219616511509	-0.12149166881266
Carbon.total	0.926301488244268	0.0604554264568299	1	0.532556738631604	-0.0557801411337141	-0.0124389218283658	-0.0929842579840747	-0.0569311497302755	-0.486773317269523	-0.182926099392356	0.303012856592655	0.470785133260249	-0.0315425768970085	0.70470793980452	0.202207617601983	-0.255971231676839	0.204086091507125	-0.0833093227720056	0.423390882174081	0.0373764553316957	-0.254889670377237	-0.155992480574686	-0.0983784865605316	-0.292365283624307	-0.103989639121629	-0.258318978744871	-0.184178443661579
Alkalinity.total	0.617061773962005	0.414811339126799	0.532556738631604	1	0.302268188452655	0.20984271452805	0.235234661144913	-0.035884150902331	-0.200754451416682	-0.165295473753407	0.0779661458494626	0.0642433264662382	0.215250500051998	0.332449600154227	0.135927987511841	-0.307640601256646	-0.132313653257252	0.237679163063268	0.424429380723135	0.0515991156357187	-0.223795515145287	-0.115026646570267	-0.0583081243739467	-0.198064644074573	-0.0122397839770137	-0.221607254222443	-0.269299851043219
NO2	-0.0428107721009579	0.187415660121441	-0.0557801411337141	0.302268188452655	1	0.431944734111488	0.398576792665197	0.036831095380238	0.0273958929684359	0.00593200037610846	0.0128806265370951	-0.235368990813618	0.329663652514535	-0.0230214056173071	0.00544943310131997	-0.190956670622878	-0.364907117156982	0.223624388270948	0.0908943726905702	0.072897122683268	0.0717529606175591	-0.144761566872113	-0.00358255997310147	0.183542682268555	-0.103709638702206	-0.0632139142401943	-0.107932430422506
PO4	-0.00558108087668067	0.107539403313951	-0.0124389218283658	0.20984271452805	0.431944734111488	1	0.891227255108409	0.697392692498061	-0.272119962597722	-0.249141488135825	0.0459257629459253	0.107460946239837	0.842091702633559	0.0430973885864787	0.106869215914939	-0.187287010500429	-0.395393524609277	0.396589745668472	0.140933499269491	0.0277738040498318	0.0523349079705355	-0.00741079338790201	0.145156107834717	-0.173046019503015	-0.139053324364226	-0.124545691826883	-0.309754211049311
NO2NO3	-0.0599555566547985	0.101524665013954	-0.0929842579840747	0.235234661144913	0.398576792665197	0.891227255108409	1	0.677774375709582	-0.220065235406528	-0.034733225481256	0.210480367308316	0.054061904111145	0.940531971808433	0.0161335361514557	-0.013797055452561	-0.087361517433492	-0.350224845042293	0.478056685872016	0.117661953140292	0.0495791242631026	0.210908351938	-0.00940045279736111	0.207362007587895	-0.110246874760361	-0.0897734396491284	-0.0126157000421404	-0.139376039652942
Si	-0.0250146318331768	-0.0702878681712509	-0.0569311497302755	-0.035884150902331	0.036831095380238	0.697392692498061	0.677774375709582	1	-0.298661360191372	-0.184480837712889	0.10925202865012	0.232317853109952	0.685510469219244	0.00174097843056643	0.135909704841399	-0.119853025515344	-0.0518165868281297	-0.0457727097039696	-0.00427934366969746	0.0121861908506371	-0.0948629788389861	0.145975498370287	0.295789115411041	-0.082617859258298	-0.0355363128895624	-0.0510824261376144	-0.117799055599984
Temperature	-0.362584385211543	0.0735091395577425	-0.486773317269523	-0.200754451416682	0.0273958929684359	-0.272119962597722	-0.220065235406528	-0.298661360191372	1	0.553369898901763	-0.500353235692396	-0.915231448813005	-0.336318119624434	-0.629575332902553	-0.430901758989329	0.397355107567195	-0.219517901399063	0.103029852908847	-0.501371272089961	-0.0705854111219261	0.192053831823804	0.158378716358494	-0.242824666295426	0.221326034433584	0.110161078919204	0.180687304302625	0.0792778988395527
Salinity	-0.135947674505958	0.0719427248241391	-0.182926099392356	-0.165295473753407	0.00593200037610846	-0.249141488135825	-0.034733225481256	-0.184480837712889	0.553369898901763	1	0.429579035902363	-0.565060830300864	-0.111623552506637	-0.324483282449596	-0.679124604119496	0.185100723256224	0.0375146120469089	0.051354831771667	-0.351802083519312	-0.033245363212961	0.288273990756535	0.124788385136752	0.0388321374618981	0.291924733670654	0.103735240457904	0.14765474403786	0.270436991226377
Density	0.225075456680413	0.0946296557292137	0.303012856592655	0.0779661458494626	0.0128806265370951	0.0459257629459253	0.210480367308316	0.10925202865012	-0.500353235692396	0.429579035902363	1	0.370139484944805	0.269683522100088	0.320326124375703	-0.219232440025312	-0.249177005776426	0.215514312179894	-0.011941614304264	0.239414642645637	0.0482288441864186	0.156484187073669	-0.0202760094402153	0.276099779734862	0.096587123832894	0.0112002542831821	-0.0196396309577878	0.183042332499955
Oxygen	0.360617170294505	-0.243303980507462	0.470785133260249	0.0642433264662382	-0.235368990813618	0.107460946239837	0.054061904111145	0.232317853109952	-0.915231448813005	-0.565060830300864	0.370139484944805	1	0.116308212209179	0.629624926683454	0.408781484500677	-0.216487651914973	0.295540999996105	-0.115941735453434	0.461051999272544	0.0440065062851301	-0.179970319594353	-0.138822464564574	0.226032840838279	-0.234022343581272	-0.0931552788550818	-0.11403282092269	0.000880353987839363
NO3	-0.00457872722206782	0.0695621731719694	-0.0315425768970085	0.215250500051998	0.329663652514535	0.842091702633559	0.940531971808433	0.685510469219244	-0.336318119624434	-0.111623552506637	0.269683522100088	0.116308212209179	1	0.0803255730670141	0.199964217187337	-0.114058889320659	-0.309023080773032	0.416118383107069	0.139918822222922	0.0567885100021648	0.142021391419291	-0.0359344800988914	0.275546031173594	-0.105290256374111	-0.0858306201848757	-0.0542118283892149	-0.169552426710076
ChlorophyllA	0.549378139735276	-0.039971198736699	0.70470793980452	0.332449600154227	-0.0230214056173071	0.0430973885864787	0.0161335361514557	0.00174097843056643	-0.629575332902553	-0.324483282449596	0.320326124375703	0.629624926683454	0.0803255730670141	1	0.231299874699751	-0.300268472161608	0.118470243298709	-0.0804596543444673	0.1969201318044	0.0949871168147329	-0.0833071824695521	-0.192794321392948	0.044394242348165	-0.27390900272286	-0.1578513936209	-0.186961078612649	0.142747037838753
Fluorescence	0.141435670545627	-0.0252839734130977	0.202207617601983	0.135927987511841	0.00544943310131997	0.106869215914939	-0.013797055452561	0.135909704841399	-0.430901758989329	-0.679124604119496	-0.219232440025312	0.408781484500677	0.199964217187337	0.231299874699751	1	-0.254036528735906	0.167026095865278	-0.112675553632104	0.441452073037888	0.0235639174146519	-0.232279116049519	-0.0874756928598454	-0.0318331371492573	-0.167031782978431	-0.0794056197775382	-0.191035800997779	-0.283161406103503
PAR.TO	-0.19001819398077	-0.347548415971755	-0.255971231676839	-0.307640601256646	-0.190956670622878	-0.187287010500429	-0.087361517433492	-0.119853025515344	0.397355107567195	0.185100723256224	-0.249177005776426	-0.216487651914973	-0.114058889320659	-0.300268472161608	-0.254036528735906	1	-0.0895501992460339	0.165986560037825	-0.0120637726106826	0.0268699067568281	0.233562399723238	-0.0223163125490689	-0.0247557700324641	0.0337810118373002	0.147903130780638	0.317530254850778	0.162821056776577
Iron.5m	0.158688588110464	-0.179813042968178	0.204086091507125	-0.132313653257252	-0.364907117156982	-0.395393524609277	-0.350224845042293	-0.0518165868281297	-0.219517901399063	0.0375146120469089	0.215514312179894	0.295540999996105	-0.309023080773032	0.118470243298709	0.167026095865278	-0.0895501992460339	1	-0.395434827055034	0.0525923535008148	-0.116170089451104	-0.152892898970804	0.00914615190454564	0.0825363181647886	0.0045212520149721	0.0665839277370684	-0.0480890401737874	0.179373469134517
Ammonium.5m	-0.0340990924959711	0.324477059445112	-0.0833093227720056	0.237679163063268	0.223624388270948	0.396589745668472	0.478056685872016	-0.0457727097039696	0.103029852908847	0.051354831771667	-0.011941614304264	-0.115941735453434	0.416118383107069	-0.0804596543444673	-0.112675553632104	0.165986560037825	-0.395434827055034	1	0.164614298994372	0.0479100287828237	0.513468216510145	-0.0532017418399582	-0.109247000960816	0.0370680257946496	-0.0520667916976849	0.0466642895932356	-0.161746076763075
Gradient.Surface.temp(SST)	0.430293254076014	-0.0694532590071423	0.423390882174081	0.424429380723135	0.0908943726905702	0.140933499269491	0.117661953140292	-0.00427934366969746	-0.501371272089961	-0.351802083519312	0.239414642645637	0.461051999272544	0.139918822222922	0.1969201318044	0.441452073037888	-0.0120637726106826	0.0525923535008148	0.164614298994372	1	0.0227921734722123	-0.106344471367629	-0.110708346714847	-0.0737957563264268	-0.192290525821363	0.204413679191962	-0.202651490507176	-0.136810881396274
Okubo.Weiss	0.0309631170684285	-0.187873371409298	0.0373764553316957	0.0515991156357187	0.072897122683268	0.0277738040498318	0.0495791242631026	0.0121861908506371	-0.0705854111219261	-0.033245363212961	0.0482288441864186	0.0440065062851301	0.0567885100021648	0.0949871168147329	0.0235639174146519	0.0268699067568281	-0.116170089451104	0.0479100287828237	0.0227921734722123	1	0.0731642607593976	-0.454666219237461	-0.173734316570062	-0.093781340812857	0.0711681808548969	0.0130680429909692	-0.19113139978414
Lyapunov	-0.204181671763438	0.227248358144136	-0.254889670377237	-0.223795515145287	0.0717529606175591	0.0523349079705355	0.210908351938	-0.0948629788389861	0.192053831823804	0.288273990756535	0.156484187073669	-0.179970319594353	0.142021391419291	-0.0833071824695521	-0.232279116049519	0.233562399723238	-0.152892898970804	0.513468216510145	-0.106344471367629	0.0731642607593976	1	-0.0605938224321638	0.00295343711852549	0.149398793427629	0.384082894080028	0.336583066178521	0.14090474029377
