sample	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_011_SRF_0.22-1.6_T	153522966	94863737.9986157	0.617912358458576	26068468638	13420653467.1245	0.514823239273874	631.414925731725
TARA_015_SRF_0.22-1.6_T	147772577	96748667.9989727	0.654713276056441	24976968277	13822442938.7355	0.553407554729687	631.414925731725
TARA_016_SRF_0.22-1.6_T	142120698	80847182.9996552	0.568862833755962	22331339404	10882723867.6311	0.487329652321785	631.414925731725
TARA_018_SRF_0.22-1.6_T	42242135	4982594.99999784	0.117953200045354	6696311905	649579740.886485	0.0970055980220182	631.414925731725
TARA_019_SRF_0.22-1.6_T	140049964	67861771.0007799	0.484554005317559	23292135222	8933516018.91464	0.383542167077783	631.414925731725
TARA_022_DCM_0.22-1.6_T	165191142	100977643.99877	0.61127759501033	27791792449	14134899691.6825	0.508599785984337	631.414925731725
TARA_025_DCM_0.22-1.6_T	137861480	80699867.9997372	0.585369227138264	23295672607	11107964060.2783	0.476825213320545	631.414925731725
TARA_031_SRF_0.22-1.6_T	144377935	92252694.9983659	0.63896671605925	24508577656	12352687599.0462	0.504014870729232	631.414925731725
TARA_032_SRF_0.22-1.6_T	112613466	71072924.0005743	0.631122782426164	18756639135	9470427894.24668	0.504910705275275	631.414925731725
TARA_033_SRF_0.22-1.6_T	130366958	75124453.9999287	0.576253792774153	21826362140	9836530620.71961	0.450672015685689	631.414925731725
TARA_037_MES_0.22-1.6_T	213874792	88898495.9988792	0.415656726852032	36134032046	12737415079.0923	0.352504671022517	631.414925731725
TARA_038_MES_0.22-1.6_T	200289239	141851649.998707	0.70823400551593	33470511233	20691932906.7467	0.618213828964334	631.414925731725
TARA_039_DCM_0.22-1.6_T	185713252	132466668.994959	0.713286034078813	31967688872	18699610461.5862	0.584953467748644	631.414925731725
TARA_039_MES_0.22-1.6_T	156897823	118226405.998849	0.753524833794854	27073824093	18016184621.865	0.665446615889151	631.414925731725
TARA_039_SRF_0.22-1.6_T	179492187	118113034.996429	0.658039979179866	30741680833	16458841322.2129	0.535391718222023	631.414925731725
