sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_004_DCM_0.22-1.6_G	TARA_X000000368	metaG	216758006	170014824.003099	0.78435314635206	36482424718	24627403730.8183	0.675048435546211	631.414925731725
TARA_004_SRF_0.22-1.6_G	TARA_Y200000002	metaG	191273772	149154995.999216	0.779798476495858	33050958972	21894088622.5719	0.66243429248513	631.414925731725
TARA_007_DCM_0.22-1.6_G	TARA_A200000159	metaG	82677895	65394896.0005311	0.790959856930696	14459422208	10065505453.5881	0.69612086214753	631.414925731725
TARA_007_SRF_0.22-1.6_G	TARA_A200000113	metaG	98106202	82807963.9995519	0.844064516935962	15716522790	11684105218.5002	0.743428134493877	631.414925731725
TARA_009_DCM_0.22-1.6_G	TARA_X000001036	metaG	196311030	154588802.999897	0.787468758122744	34345204309	23278994355.0989	0.67779460985762	631.414925731725
TARA_009_SRF_0.22-1.6_G	TARA_X000000950	metaG	230253045	158435691.00032	0.688093792637225	39148193600	24245471965.9772	0.619325433344573	631.414925731725
TARA_011_SRF_lt-0.22_G	TARA_X000001316	metaG	12315921	8220511.99999728	0.667470341844291	1984679302	1108308255.50609	0.55843191108469	631.414925731725
TARA_018_DCM_0.22-1.6_G	TARA_S200000501	metaG	194764702	153797644.000223	0.789658713416268	33807232143	23082731609.4495	0.682774961044214	631.414925731725
TARA_018_DCM_lt-0.22_G	TARA_A100000172	metaG	34462158	28198447.9998426	0.818243825585229	4861394732	3329099052.5093	0.684803278901751	631.414925731725
TARA_018_SRF_0.22-1.6_G	TARA_A100000164	metaG	196227074	155869506.000537	0.794332315226475	34208305292	23493070703.6418	0.686765114585664	631.414925731725
TARA_018_SRF_lt-0.22_G	TARA_A100000171	metaG	36671700	30754263.9998942	0.838637532481292	4944697147	3613296241.85628	0.730741668182552	631.414925731725
TARA_022_SRF_lt-0.22_G	TARA_S200002703	metaG	53088129	41277541.9999262	0.777528663704201	8655416152	5607583645.30674	0.647869905597895	631.414925731725
TARA_023_DCM_0.22-1.6_G	TARA_E500000081	metaG	70852379	56054550.0003649	0.791145629709411	13257729231	9291842575.25502	0.70086229801166	631.414925731725
TARA_023_DCM_lt-0.22_G	TARA_X000001382	metaG	35466702	27988491.9998114	0.789148424339298	5350210297	3506032553.77721	0.655307428895482	631.414925731725
TARA_023_SRF_0.22-1.6_G	TARA_E500000075	metaG	70921831	53774437.0003053	0.758221216825399	12471851528	8413463097.34178	0.674596155867722	631.414925731725
TARA_025_DCM_0.22-1.6_G	TARA_E500000331	metaG	182945925	135947793.997561	0.743103701257961	32078718535	20572406462.4421	0.641310108444521	631.414925731725
TARA_025_DCM_lt-0.22_G	TARA_E500000305	metaG	47939751	38781498.9998375	0.808963296447607	7867248575	5342796216.30302	0.679118775181579	631.414925731725
TARA_025_SRF_0.22-1.6_G	TARA_E500000178	metaG	213362292	157550736.000332	0.738418839259242	36509375758	23513051510.1418	0.644027760594882	631.414925731725
TARA_025_SRF_lt-0.22_G	TARA_E500000318	metaG	48575944	39922447.9998486	0.821856349304269	8047803494	5510313382.28474	0.684697804362759	631.414925731725
TARA_030_DCM_0.22-1.6_G	TARA_A100001011	metaG	170316497	139232042.997673	0.817490057922418	29087479043	20984717689.877	0.721434733441674	631.414925731725
TARA_030_DCM_lt-0.22_G	TARA_X000001388	metaG	31546916	25694792.9999265	0.81449460859903	4341205476	3003690621.64203	0.691902430845001	631.414925731725
TARA_030_SRF_0.22-1.6_G	TARA_A100001015	metaG	226064029	174398873.002138	0.771457864276753	37872435439	25517158447.2547	0.673765976533365	631.414925731725
TARA_031_SRF_0.22-1.6_G	TARA_A100001388	metaG	185759820	130326300.994865	0.701584987511642	31711411531	18837985240.1702	0.594044362287526	631.414925731725
TARA_031_SRF_lt-0.22_G	TARA_A100001391	metaG	60803598	50933790.000394	0.837677237462067	9781153520	6899920650.47247	0.705430155693177	631.414925731725
TARA_032_DCM_0.22-1.6_G	TARA_A100001037	metaG	184282270	132407617.997474	0.718504379165037	31395998812	19619491145.1928	0.624904188036024	631.414925731725
TARA_032_DCM_lt-0.22_G	TARA_A100001518	metaG	56721865	50912831.0004264	0.897587394216082	8621285766	6896262138.56936	0.799911095136915	631.414925731725
TARA_032_SRF_0.22-1.6_G	TARA_A100001035	metaG	192935658	135968142.996018	0.704733092915452	34468523123	20452764642.2132	0.59337513734569	631.414925731725
TARA_032_SRF_lt-0.22_G	TARA_A100001515	metaG	46774365	38160657.9997866	0.8158455598443	7766140831	5197505176.85356	0.669251986276987	631.414925731725
TARA_033_SRF_0.22-1.6_G	TARA_A100001234	metaG	120158305	93486160.9984889	0.778024964637183	20412238800	13382718722.7473	0.655622288856787	631.414925731725
TARA_033_SRF_lt-0.22_G	TARA_A100001201	metaG	44709044	37096143.9997303	0.82972348949645	7548708511	5129229027.82918	0.679484314483047	631.414925731725
TARA_034_DCM_0.22-1.6_G	TARA_B100000029	metaG	209450073	119740314.998108	0.571689058318487	35014779558	17352388213.1544	0.495573253129045	631.414925731725
TARA_034_DCM_lt-0.22_G	TARA_R100000008	metaG	35328288	25129467.9999136	0.711312928605927	5409085351	3139321245.26643	0.580379313978851	631.414925731725
TARA_034_SRF_0.1-0.22_G	TARA_Y100000004	metaG	98323853	77489115.9998358	0.788100889413232	17350498434	11409275637.258	0.657576246622424	631.414925731725
TARA_034_SRF_0.22-1.6_G	TARA_B100000003	metaG	114676105	88172238.999052	0.768880657387623	19657849041	12837880297.8285	0.653066379289656	631.414925731725
TARA_034_SRF_lt-0.22_G	TARA_R100000005	metaG	56520100	45597219.0001966	0.806743424024314	9322347712	6193324001.43834	0.664352391990927	631.414925731725
TARA_036_DCM_0.22-1.6_G	TARA_B100000035	metaG	187167978	144622497.997619	0.772688253316594	32248846606	21129133028.9999	0.655190347957088	631.414925731725
TARA_036_DCM_lt-0.22_G	TARA_R100000030	metaG	35883858	30556023.9995959	0.851525607965451	5911147224	4125084233.97384	0.697848332591934	631.414925731725
TARA_036_SRF_0.1-0.22_G	TARA_Y100000015	metaG	23301279	19008715.999977	0.815779940662358	4094378804	2807445607.18004	0.685682918355602	631.414925731725
TARA_036_SRF_0.22-1.6_G	TARA_Y100000022	metaG	120505758	95198770.9982922	0.789993545356498	21293071317	14179058487.483	0.665900107898606	631.414925731725
TARA_036_SRF_lt-0.22_G	TARA_R100000027	metaG	30401563	26230822.999885	0.862811658725736	4398717895	3241460844.36192	0.73691037291718	631.414925731725
TARA_037_MES_0.1-0.22_G	TARA_Y100000310	metaG	245141103	162470176.000825	0.662761870663626	40857089374	23382432202.2138	0.572298040816719	631.414925731725
TARA_037_MES_0.22-1.6_G	TARA_B100000315	metaG	187140024	128495939.998657	0.686629921553592	31673505619	19065337955.5549	0.601933306179981	631.414925731725
TARA_037_MES_lt-0.22_G	TARA_R100000049	metaG	46344839	38317937.9998746	0.826800541908767	7136888698	5111550536.15793	0.716215532069369	631.414925731725
TARA_038_DCM_0.22-1.6_G	TARA_B100000073	metaG	196201065	153820711.000002	0.783995290749322	32888132398	21843946664.9767	0.664189331295232	631.414925731725
TARA_038_DCM_lt-0.22_G	TARA_R100000084	metaG	42767856	35255896.9996642	0.824355024943598	6819526367	4616001132.7091	0.676880018390448	631.414925731725
TARA_038_MES_0.1-0.22_G	TARA_Y100000296	metaG	74309250	50437860.0001955	0.678756144089673	12700488823	7386370489.78287	0.581581590498036	631.414925731725
TARA_038_MES_0.22-1.6_G	TARA_Y100000294	metaG	121121176	89180387.9996689	0.736290638390671	20229086781	12999973601.487	0.642637690085797	631.414925731725
TARA_038_MES_lt-0.22_G	TARA_R100000093	metaG	31488692	23980735.9999519	0.761566596667525	4941491743	3032573442.57944	0.613695944524305	631.414925731725
TARA_038_SRF_0.1-0.22_G	TARA_Y100000289	metaG	34208573	27850246.9998294	0.814130627425746	6007669036	4119798554.66696	0.685756577131616	631.414925731725
TARA_038_SRF_0.22-1.6_G	TARA_Y100000287	metaG	123864222	94956861.9982424	0.766620582319908	21624283322	14070699328.2147	0.650689741652596	631.414925731725
TARA_038_SRF_lt-0.22_G	TARA_R100000081	metaG	52144427	43726396.0000594	0.838563169944497	8429874383	5854088496.8226	0.694445519689851	631.414925731725
TARA_039_DCM_0.22-1.6_G	TARA_B100000085	metaG	161360369	120715085.995965	0.748108638720112	28692681530	17910203085.0668	0.624208060384337	631.414925731725
TARA_039_DCM_lt-0.22_G	TARA_R100000482	metaG	40924654	33231549.9996296	0.812017860911654	6482225763	4255034265.28388	0.656415623406895	631.414925731725
TARA_039_MES_0.1-0.22_G	TARA_Y100000034	metaG	87524218	58416754.000389	0.667435314879237	15258308769	8754732962.20595	0.573768239635625	631.414925731725
TARA_039_MES_0.22-1.6_G	TARA_Y100000031	metaG	129671533	94439054.9995985	0.728294428350736	21863046972	14056783895.4861	0.642947157067751	631.414925731725
