	HCO3	CO3	Carbon.total	Alkalinity.total	NO2	PO4	NO2NO3	Si	Temperature	Salinity	Density	Oxygen	NO3	ChlorophyllA	Fluorescence	PAR.TO	Iron.5m	Ammonium.5m	Gradient.Surface.temp(SST)	Okubo.Weiss	Lyapunov	Residence.time	Depth.Mixed.Layer	Brunt.Väisälä	Depth.Max.O2	Depth.Min.O2	Nitracline
HCO3	0	0.544223356319346	6.15308282905724e-37	3.19747320735665e-10	0.69900394448902	0.960062357968934	0.587986716313558	0.82130800077247	0.000649163558192057	0.214758543102182	0.038356707324863	0.000698068249493333	0.968474854938749	5.18610092369595e-08	0.196645827784035	0.132600948966922	0.146895910842623	0.756702851405668	0.000104616217340454	0.793411669032323	0.0710831075820005	0.229470407172654	0.552286050631899	0.0495821258362137	0.383802739812361	0.128895858416085	0.228138442921702
CO3	0.544223356319346	0	0.582578691044356	7.90944024286316e-05	0.0878002521263133	0.33320308577824	0.358135387875404	0.525211349992708	0.503756039910074	0.512914024075518	0.388984752489379	0.0248471545721413	0.547739766395353	0.716451705998841	0.818331146698166	0.0048947180871909	0.0996197362883639	0.00244828290565919	0.551064793304297	0.10894734632393	0.0440025337728033	0.0930705667627187	0.731669137222394	0.135295448934979	0.897985508158524	0.684260243408914	0.302473402596594
Carbon.total	6.15308282905724e-37	0.582578691044356	0	1.5530354139831e-07	0.614285379930248	0.911132932782912	0.400196674792197	0.606985088115034	2.31526683320454e-06	0.093797816954144	0.00481927918365971	5.44345630269941e-06	0.785371713890333	5.21158549009034e-14	0.0634706327970661	0.0411952866596281	0.061000530969771	0.448438589076168	0.000138547606513677	0.751880259697233	0.0233912923670726	0.153975475532628	0.373301732043234	0.00696197810138864	0.346522790830772	0.0176693330371311	0.116215040138114
Alkalinity.total	3.19747320735665e-10	7.90944024286316e-05	1.5530354139831e-07	0	0.00519784258145892	0.0569072283616805	0.0312416930616801	0.745892517773076	0.065436622110907	0.130583447584017	0.478169331725709	0.559133936142709	0.0601048154607319	0.00187989845733081	0.2148255751346	0.0134017323707871	0.227383884544983	0.0284996418509164	0.000132865090876885	0.662396657908599	0.0474057126635067	0.294511715982602	0.598301960095162	0.0709136948903549	0.91201070121472	0.0427755545545611	0.0203296539705389
NO2	0.69900394448902	0.0878002521263133	0.614285379930248	0.00519784258145892	0	8.03470299152913e-06	4.38712353995263e-05	0.714615288464821	0.785660997972603	0.953052211975195	0.898273458307872	0.0178181632152015	0.00133199225562877	0.819247679387907	0.956867578841591	0.0961969578813354	0.000175527869766263	0.0245779495356656	0.388856160008508	0.499703227376195	0.489569026577707	0.14864142039138	0.971780486915621	0.0675626616509459	0.304500753375072	0.532091205570749	0.316852559879472
PO4	0.960062357968934	0.33320308577824	0.911132932782912	0.0569072283616805	8.03470299152913e-06	0	2.19192462005869e-34	1.06300151554623e-15	0.00643416270213567	0.0128901603894761	0.651708176417764	0.289730569859093	1.36175794427356e-25	0.671883473443571	0.292410040529137	0.107620010891369	5.11090765768519e-05	4.8267628990898e-05	0.185188776880864	0.799616324385763	0.618332300524894	0.941964488536427	0.153839446476071	0.0883868749620482	0.172083454506985	0.221751480509468	0.00350508313464668
NO2NO3	0.587986716313558	0.358135387875404	0.400196674792197	0.0312416930616801	4.38712353995263e-05	2.19192462005869e-34	0	1.3081880976601e-14	0.0286172592215934	0.732873866880663	0.0365152767158602	0.595095547305113	4.91422581242495e-43	0.874064212592458	0.892183413986178	0.456095094976884	0.000379878050732113	5.61004703838536e-07	0.269385985517155	0.65031192596655	0.0424271431654453	0.926421983046714	0.0404849645119826	0.279837965862135	0.379354750213069	0.901876231897006	0.200593030878942
Si	0.82130800077247	0.525211349992708	0.606985088115034	0.745892517773076	0.714615288464821	1.06300151554623e-15	1.3081880976601e-14	0	0.00241568910207734	0.064773610835373	0.276788593728634	0.0193983678886786	4.76012329738527e-14	0.986214164746846	0.175362966988957	0.299152685328346	0.606822608177423	0.649452788102945	0.967706471586808	0.91027931111228	0.360488786683851	0.145229663494883	0.00280935074240133	0.413819962661856	0.725583672918103	0.613747324384261	0.274365827392625
Temperature	0.000649163558192057	0.503756039910074	2.31526683320454e-06	0.065436622110907	0.785660997972603	0.00643416270213567	0.0286172592215934	0.00241568910207734	0	6.34943441134051e-10	4.06996597555754e-08	2.99873816681237e-43	0.000807481644462913	3.7664929429382e-13	3.60153232970174e-06	0.000218692607968532	0.0230970430616392	0.290947805798495	1.68626656388998e-07	0.503744719784575	0.0543490745675003	0.10324084808896	0.0121400213643583	0.0226060963596468	0.260947207255764	0.0638079482531587	0.452536179753407
Salinity	0.214758543102182	0.512914024075518	0.093797816954144	0.130583447584017	0.953052211975195	0.0128901603894761	0.732873866880663	0.064773610835373	6.34943441134051e-10	0	3.88646560506603e-06	2.29264061642054e-10	0.278922000231004	0.000650085572884399	8.97958646314437e-16	0.0959434236704317	0.701251692606125	0.599356642620152	0.000409947155263151	0.753061287500297	0.00346248413704034	0.200308860142729	0.692687888523763	0.00239468900231047	0.289957775721941	0.130924568287602	0.00912729645406345
Density	0.038356707324863	0.388984752489379	0.00481927918365971	0.478169331725709	0.898273458307872	0.651708176417764	0.0365152767158602	0.276788593728634	4.06996597555754e-08	3.88646560506603e-06	0	8.70544187517835e-05	0.00788024768188565	0.00076918862460365	0.0232806561669011	0.0239775649251455	0.0257886237438016	0.902836852935458	0.0181839125671703	0.648004774044147	0.118119581953953	0.835779863382744	0.00417240785523099	0.324653725250677	0.909277451526473	0.841618121848493	0.080730506115125
Oxygen	0.000698068249493333	0.0248471545721413	5.44345630269941e-06	0.559133936142709	0.0178181632152015	0.289730569859093	0.595095547305113	0.0193983678886786	2.99873816681237e-43	2.29264061642054e-10	8.70544187517835e-05	0	0.2591130596166	3.7458082040749e-13	1.23470579127074e-05	0.050758353298939	0.00199794726789027	0.23434541978625	2.00917073814615e-06	0.677024930110087	0.0717184767292322	0.153857030806856	0.0198169643743717	0.0157582024913951	0.342220119262757	0.244456287129825	0.993354810553122
NO3	0.968474854938749	0.547739766395353	0.785371713890333	0.0601048154607319	0.00133199225562877	1.36175794427356e-25	4.91422581242495e-43	4.76012329738527e-14	0.000807481644462913	0.278922000231004	0.00788024768188565	0.2591130596166	0	0.436583585882542	0.0507778246685962	0.329871486829997	0.00218775525433923	2.48027133350513e-05	0.188404969908578	0.60788771608028	0.181785057834222	0.728152083416923	0.00658293931177065	0.307274845990084	0.405699943142038	0.599865952871374	0.106142724577614
ChlorophyllA	5.18610092369595e-08	0.716451705998841	5.21158549009034e-14	0.00187989845733081	0.819247679387907	0.671883473443571	0.874064212592458	0.986214164746846	3.7664929429382e-13	0.000650085572884399	0.00076918862460365	3.7458082040749e-13	0.436583585882542	0	0.0165261382687118	0.00612790825086666	0.224229845887691	0.410029114154097	0.0532028324878726	0.367765850644278	0.407530819588475	0.0466390811750686	0.651362503840221	0.00449472221310985	0.106081579582872	0.0549822975912833	0.174646567373924
Fluorescence	0.196645827784035	0.818331146698166	0.0634706327970661	0.2148255751346	0.956867578841591	0.292410040529137	0.892183413986178	0.175362966988957	3.60153232970174e-06	8.97958646314437e-16	0.0232806561669011	1.23470579127074e-05	0.0507778246685962	0.0165261382687118	0	0.0212787000233847	0.0855161676406459	0.2478778245318	6.0055575958653e-06	0.823568316919832	0.0194191811814918	0.370281254159183	0.745984742176727	0.0870162037430704	0.418448317018158	0.0498068439061294	0.00623668883507296
PAR.TO	0.132600948966922	0.0048947180871909	0.0411952866596281	0.0134017323707871	0.0961969578813354	0.107620010891369	0.456095094976884	0.299152685328346	0.000218692607968532	0.0959434236704317	0.0239775649251455	0.050758353298939	0.329871486829997	0.00612790825086666	0.0212787000233847	0	0.423669231561723	0.136130446520775	0.917065019155746	0.821469872081052	0.0395880569133256	0.842258673829734	0.825275139064621	0.763193427406802	0.184818217230417	0.00365094038773011	0.17488446226425
Iron.5m	0.146895910842623	0.0996197362883639	0.061000530969771	0.227383884544983	0.000175527869766263	5.11090765768519e-05	0.000379878050732113	0.606822608177423	0.0230970430616392	0.701251692606125	0.0257886237438016	0.00199794726789027	0.00218775525433923	0.224229845887691	0.0855161676406459	0.423669231561723	0	2.49209763340553e-05	0.608921143379191	0.270127918343465	0.12690576446444	0.92550694489078	0.400278350965624	0.963312291720524	0.497677595754686	0.624473674789008	0.0871047467850589
Ammonium.5m	0.756702851405668	0.00244828290565919	0.448438589076168	0.0284996418509164	0.0245779495356656	4.8267628990898e-05	5.61004703838536e-07	0.649452788102945	0.290947805798495	0.599356642620152	0.902836852935458	0.23434541978625	2.48027133350513e-05	0.410029114154097	0.2478778245318	0.136130446520775	2.49209763340553e-05	0	0.107123560218153	0.650178418630151	3.9985969740457e-08	0.586272930347374	0.264948648145245	0.705992791675837	0.596067452429633	0.634786514831877	0.123471720526462
Gradient.Surface.temp(SST)	0.000104616217340454	0.551064793304297	0.000138547606513677	0.000132865090876885	0.388856160008508	0.185188776880864	0.269385985517155	0.967706471586808	1.68626656388998e-07	0.000409947155263151	0.0181839125671703	2.00917073814615e-06	0.188404969908578	0.0532028324878726	6.0055575958653e-06	0.917065019155746	0.608921143379191	0.107123560218153	0	0.834994704358995	0.315722745822821	0.280347834593756	0.47253398706913	0.059168287730493	0.0446005367897228	0.0465118425087714	0.209086187526805
Okubo.Weiss	0.793411669032323	0.10894734632393	0.751880259697233	0.662396657908599	0.499703227376195	0.799616324385763	0.65031192596655	0.91027931111228	0.503744719784575	0.753061287500297	0.648004774044147	0.677024930110087	0.60788771608028	0.367765850644278	0.823568316919832	0.821469872081052	0.270127918343465	0.650178418630151	0.834994704358995	0	0.503197602276222	5.29076705232074e-06	0.0995663349140683	0.376587876915345	0.502623927798485	0.902152143098322	0.0894471701136443
Lyapunov	0.0710831075820005	0.0440025337728033	0.0233912923670726	0.0474057126635067	0.489569026577707	0.618332300524894	0.0424271431654453	0.360488786683851	0.0543490745675003	0.00346248413704034	0.118119581953953	0.0717184767292322	0.181785057834222	0.407530819588475	0.0194191811814918	0.0395880569133256	0.12690576446444	3.9985969740457e-08	0.315722745822821	0.503197602276222	0	0.547218092445855	0.976734502471082	0.137929823586775	7.98108660494741e-05	0.000617094617244122	0.195650688029624
Residence.time	0.229470407172654	0.0930705667627187	0.153975475532628	0.294511715982602	0.14864142039138	0.941964488536427	0.926421983046714	0.145229663494883	0.10324084808896	0.200308860142729	0.835779863382744	0.153857030806856	0.728152083416923	0.0466390811750686	0.370281254159183	0.842258673829734	0.92550694489078	0.586272930347374	0.280347834593756	5.29076705232074e-06	0.547218092445855	0	0.894895955075485	0.259907344201204	0.980931682405117	0.680172205349719	0.45221632968702
Depth.Mixed.Layer	0.552286050631899	0.731669137222394	0.373301732043234	0.598301960095162	0.971780486915621	0.153839446476071	0.0404849645119826	0.00280935074240133	0.0121400213643583	0.692687888523763	0.00417240785523099	0.0198169643743717	0.00658293931177065	0.651362503840221	0.745984742176727	0.825275139064621	0.400278350965624	0.264948648145245	0.47253398706913	0.0995663349140683	0.976734502471082	0.894895955075485	0	0.0652106519710593	0.625797432720129	0.00743055296828521	0.814799837640796
Brunt.Väisälä	0.0495821258362137	0.135295448934979	0.00696197810138864	0.0709136948903549	0.0675626616509459	0.0883868749620482	0.279837965862135	0.413819962661856	0.0226060963596468	0.00239468900231047	0.324653725250677	0.0157582024913951	0.307274845990084	0.00449472221310985	0.0870162037430704	0.763193427406802	0.963312291720524	0.705992791675837	0.059168287730493	0.376587876915345	0.137929823586775	0.259907344201204	0.0652106519710593	0	0.201211885618803	0.000332971656752758	0.0080992480245315
Depth.Max.O2	0.383802739812361	0.897985508158524	0.346522790830772	0.91201070121472	0.304500753375072	0.172083454506985	0.379354750213069	0.725583672918103	0.260947207255764	0.289957775721941	0.909277451526473	0.342220119262757	0.405699943142038	0.106081579582872	0.418448317018158	0.184818217230417	0.497677595754686	0.596067452429633	0.0446005367897228	0.502623927798485	7.98108660494741e-05	0.980931682405117	0.625797432720129	0.201211885618803	0	0.102190497721201	0.643395738484115
Depth.Min.O2	0.128895858416085	0.684260243408914	0.0176693330371311	0.0427755545545611	0.532091205570749	0.221751480509468	0.901876231897006	0.613747324384261	0.0638079482531587	0.130924568287602	0.841618121848493	0.244456287129825	0.599865952871374	0.0549822975912833	0.0498068439061294	0.00365094038773011	0.624473674789008	0.634786514831877	0.0465118425087714	0.902152143098322	0.000617094617244122	0.680172205349719	0.00743055296828521	0.000332971656752758	0.102190497721201	0	4.90087882833209e-05
Nitracline	0.228138442921702	0.302473402596594	0.116215040138114	0.0203296539705389	0.316852559879472	0.00350508313464668	0.200593030878942	0.274365827392625	0.452536179753407	0.00912729645406345	0.080730506115125	0.993354810553122	0.106142724577614	0.174646567373924	0.00623668883507296	0.17488446226425	0.0871047467850589	0.123471720526462	0.209086187526805	0.0894471701136443	0.195650688029624	0.45221632968702	0.814799837640796	0.0080992480245315	0.643395738484115	4.90087882833209e-05	0
