sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_004_DCM_0.22-1.6_G	TARA_X000000368	metaG	216758006	170014824.003099	0.78435314635206	36482424718	24627403730.8183	0.675048435546211	631.414925731725
TARA_004_SRF_0.22-1.6_G	TARA_Y200000002	metaG	191273772	149154995.999216	0.779798476495858	33050958972	21894088622.5719	0.66243429248513	631.414925731725
TARA_007_DCM_0.22-1.6_G	TARA_A200000159	metaG	82677895	65394896.0005311	0.790959856930696	14459422208	10065505453.5881	0.69612086214753	631.414925731725
TARA_007_SRF_0.22-1.6_G	TARA_A200000113	metaG	98106202	82807963.9995519	0.844064516935962	15716522790	11684105218.5002	0.743428134493877	631.414925731725
TARA_009_DCM_0.22-1.6_G	TARA_X000001036	metaG	196311030	154588802.999897	0.787468758122744	34345204309	23278994355.0989	0.67779460985762	631.414925731725
TARA_009_SRF_0.22-1.6_G	TARA_X000000950	metaG	230253045	158435691.00032	0.688093792637225	39148193600	24245471965.9772	0.619325433344573	631.414925731725
TARA_018_DCM_0.22-1.6_G	TARA_S200000501	metaG	194764702	153797644.000223	0.789658713416268	33807232143	23082731609.4495	0.682774961044214	631.414925731725
TARA_018_SRF_0.22-1.6_G	TARA_A100000164	metaG	196227074	155869506.000537	0.794332315226475	34208305292	23493070703.6418	0.686765114585664	631.414925731725
TARA_023_DCM_0.22-1.6_G	TARA_E500000081	metaG	70852379	56054550.0003649	0.791145629709411	13257729231	9291842575.25502	0.70086229801166	631.414925731725
TARA_023_SRF_0.22-1.6_G	TARA_E500000075	metaG	70921831	53774437.0003053	0.758221216825399	12471851528	8413463097.34178	0.674596155867722	631.414925731725
TARA_025_DCM_0.22-1.6_G	TARA_E500000331	metaG	182945925	135947793.997561	0.743103701257961	32078718535	20572406462.4421	0.641310108444521	631.414925731725
TARA_025_SRF_0.22-1.6_G	TARA_E500000178	metaG	213362292	157550736.000332	0.738418839259242	36509375758	23513051510.1418	0.644027760594882	631.414925731725
TARA_030_DCM_0.22-1.6_G	TARA_A100001011	metaG	170316497	139232042.997673	0.817490057922418	29087479043	20984717689.877	0.721434733441674	631.414925731725
TARA_030_SRF_0.22-1.6_G	TARA_A100001015	metaG	226064029	174398873.002138	0.771457864276753	37872435439	25517158447.2547	0.673765976533365	631.414925731725
TARA_031_SRF_0.22-1.6_G	TARA_A100001388	metaG	185759820	130326300.994865	0.701584987511642	31711411531	18837985240.1702	0.594044362287526	631.414925731725
TARA_032_DCM_0.22-1.6_G	TARA_A100001037	metaG	184282270	132407617.997474	0.718504379165037	31395998812	19619491145.1928	0.624904188036024	631.414925731725
TARA_032_SRF_0.22-1.6_G	TARA_A100001035	metaG	192935658	135968142.996018	0.704733092915452	34468523123	20452764642.2132	0.59337513734569	631.414925731725
TARA_033_SRF_0.22-1.6_G	TARA_A100001234	metaG	120158305	93486160.9984889	0.778024964637183	20412238800	13382718722.7473	0.655622288856787	631.414925731725
TARA_034_DCM_0.22-1.6_G	TARA_B100000029	metaG	209450073	119740314.998108	0.571689058318487	35014779558	17352388213.1544	0.495573253129045	631.414925731725
TARA_034_SRF_0.22-1.6_G	TARA_B100000003	metaG	114676105	88172238.999052	0.768880657387623	19657849041	12837880297.8285	0.653066379289656	631.414925731725
TARA_036_DCM_0.22-1.6_G	TARA_B100000035	metaG	187167978	144622497.997619	0.772688253316594	32248846606	21129133028.9999	0.655190347957088	631.414925731725
TARA_036_SRF_0.22-1.6_G	TARA_Y100000022	metaG	120505758	95198770.9982922	0.789993545356498	21293071317	14179058487.483	0.665900107898606	631.414925731725
TARA_037_MES_0.22-1.6_G	TARA_B100000315	metaG	187140024	128495939.998657	0.686629921553592	31673505619	19065337955.5549	0.601933306179981	631.414925731725
TARA_038_DCM_0.22-1.6_G	TARA_B100000073	metaG	196201065	153820711.000002	0.783995290749322	32888132398	21843946664.9767	0.664189331295232	631.414925731725
TARA_038_MES_0.22-1.6_G	TARA_Y100000294	metaG	121121176	89180387.9996689	0.736290638390671	20229086781	12999973601.487	0.642637690085797	631.414925731725
TARA_038_SRF_0.22-1.6_G	TARA_Y100000287	metaG	123864222	94956861.9982424	0.766620582319908	21624283322	14070699328.2147	0.650689741652596	631.414925731725
TARA_039_DCM_0.22-1.6_G	TARA_B100000085	metaG	161360369	120715085.995965	0.748108638720112	28692681530	17910203085.0668	0.624208060384337	631.414925731725
TARA_039_MES_0.22-1.6_G	TARA_Y100000031	metaG	129671533	94439054.9995985	0.728294428350736	21863046972	14056783895.4861	0.642947157067751	631.414925731725
TARA_041_DCM_0.22-1.6_G	TARA_B100000287	metaG	215042748	166969104.002537	0.776446104578879	36495499531	24026893974.8268	0.658352242977738	631.414925731725
TARA_041_SRF_0.22-1.6_G	TARA_B100000282	metaG	205258331	149723689.999058	0.72944025837888	35044844581	21334024085.7422	0.608763552551429	631.414925731725
TARA_042_DCM_0.22-1.6_G	TARA_B100000131	metaG	197296127	158461803.001071	0.803167327258637	33354896724	22984819485.5165	0.689098805363055	631.414925731725
TARA_042_SRF_0.22-1.6_G	TARA_B100000123	metaG	186703977	140403451.99629	0.752011040430542	31732880846	19955044328.4493	0.62884439724497	631.414925731725
TARA_045_SRF_0.22-1.6_G	TARA_B100000161	metaG	186047950	136389659.995903	0.733088754785544	32482641308	19783451468.2031	0.609046883860726	631.414925731725
TARA_048_SRF_0.22-1.6_G	TARA_B100000242	metaG	225703126	170777328.004423	0.756645825119954	37415337514	23533955336.129	0.628992196778209	631.414925731725
TARA_052_DCM_0.22-1.6_G	TARA_B100000214	metaG	186015897	133319628.995696	0.716710943235655	32780527474	19542417416.5148	0.59615933367805	631.414925731725
TARA_052_SRF_0.22-1.6_G	TARA_B100000212	metaG	191805902	144620939.998293	0.753996297769259	33700077453	21182373420.9672	0.628555630191335	631.414925731725
TARA_056_MES_0.22-3_G	TARA_B100000378	metaG	194356268	127631149.996992	0.656686564886047	31249984054	17229019100.4782	0.551328892542999	631.414925731725
TARA_056_SRF_0.22-3_G	TARA_B000000609	metaG	154193234	104109961.997476	0.67519150676531	27147736134	15592465023.1187	0.574355995879546	631.414925731725
TARA_057_SRF_0.22-3_G	TARA_B000000565	metaG	156993109	112808788.996297	0.718558857231735	25283526505	15528518969.0876	0.614175359043239	631.414925731725
TARA_058_DCM_0.22-3_G	TARA_B000000557	metaG	162594766	119673774.995126	0.736024768442582	27958060605	17393102578.7532	0.622114059501058	631.414925731725
TARA_062_SRF_0.22-3_G	TARA_B000000532	metaG	140355736	100941703.997552	0.719184743525919	25383818135	15479410125.1051	0.60981409663354	631.414925731725
TARA_064_DCM_0.22-3_G	TARA_B100000405	metaG	190670593	114159905.996713	0.598728436307496	32062298644	17128181702.1826	0.534215649737512	631.414925731725
TARA_064_MES_0.22-3_G	TARA_B100000408	metaG	114742362	64096407.0005596	0.558611535298181	19610885256	9228154533.93041	0.470562874315275	631.414925731725
TARA_064_SRF_0.22-3_G	TARA_B100000401	metaG	300243156	217161276.012108	0.723284683338821	53582940683	32977513344.6408	0.615447993788505	631.414925731725
TARA_065_DCM_0.22-3_G	TARA_B000000441	metaG	204580974	136572067.996834	0.667569741831584	35169441663	20471139418.3747	0.582071777383699	631.414925731725
TARA_065_MES_0.22-3_G	TARA_B000000460	metaG	208994296	114964722.998005	0.550085457825149	35558991829	16305759168.0469	0.458555159450522	631.414925731725
TARA_065_SRF_0.22-3_G	TARA_B000000437	metaG	135582877	98661437.9978868	0.727683614486856	22819792516	14420380154.4673	0.631924244900845	631.414925731725
TARA_066_DCM_0.22-3_G	TARA_B000000477	metaG	70236356	49123507.0002775	0.699402842030664	12525467969	7551978863.97872	0.602929877164633	631.414925731725
TARA_066_SRF_0.22-3_G	TARA_B000000475	metaG	150344786	107894630.997028	0.717647973485609	25300379336	15583406113.3486	0.615935670623518	631.414925731725
TARA_067_SRF_0.22-3_G	TARA_B100000497	metaG	76813613	47966676.0001196	0.624455407404409	14235164008	7768765851.36976	0.545744737960434	631.414925731725
TARA_068_DCM_0.22-3_G	TARA_B100000482	metaG	120422758	73289213.0002988	0.608599356280303	19500359293	10590542751.473	0.543094749811847	631.414925731725
TARA_068_MES_0.22-3_G	TARA_B100000470	metaG	180066430	106599306.998552	0.591999891365382	31539717601	15645415284.2233	0.496054387111165	631.414925731725
TARA_068_SRF_0.22-3_G	TARA_B100000475	metaG	132104480	79846349.9997557	0.604418184756154	20885615245	11357700530.0874	0.543804929701865	631.414925731725
TARA_070_MES_0.22-3_G	TARA_B100000446	metaG	181835902	123180907.998044	0.677428971084291	30711658338	17978618738.6387	0.585400454145894	631.414925731725
TARA_070_SRF_0.22-3_G	TARA_B100000459	metaG	119377115	45704891.0001659	0.382861413598125	18728681190	6459489945.78205	0.344898280890757	631.414925731725
TARA_072_DCM_0.22-3_G	TARA_B100000427	metaG	156582866	101428059.99806	0.647759634173897	27326496444	15020487978.7346	0.54966753639699	631.414925731725
