	Archaea	Bacteria	Eukaryota	unclassified
TARA_X000000368	6239	131759	2363	3
TARA_Y200000002	1153	87602	1296	1
TARA_A200000159	2061	73173	940	0
TARA_A200000113	568	72223	199	1
TARA_X000001036	6900	85641	1320	0
TARA_X000000950	388	142009	10095	0
TARA_S200000501	3396	108255	1525	0
TARA_A100000164	3557	125738	729	0
TARA_E500000081	954	50108	1139	0
TARA_E500000075	407	78022	1148	1
TARA_E500000331	2881	90219	2775	1
TARA_E500000178	70	129610	3868	0
TARA_A100001011	72	86798	1277	0
TARA_A100001015	20	92513	1073	2
TARA_A100001388	2518	119313	3493	4
TARA_A100001037	15353	102753	3750	1
TARA_A100001035	1743	81208	5347	1
TARA_A100001234	2718	64712	1704	1
TARA_B100000029	8926	42455	8765	0
TARA_B100000003	3863	58541	2790	3
TARA_B100000035	2873	95233	2085	4
TARA_Y100000022	1140	60598	700	1
TARA_B100000315	7046	81764	288	0
TARA_B100000073	3417	93421	3668	1
TARA_Y100000294	1919	47575	93	0
TARA_Y100000287	3021	64294	1458	1
TARA_B100000085	2273	66755	3349	1
TARA_Y100000031	2493	64181	91	0
TARA_B100000287	6622	65271	2637	1
TARA_B100000282	2036	97136	2727	5
TARA_B100000131	3722	50197	1101	0
TARA_B100000123	2221	93995	1482	2
TARA_B100000161	1266	120988	2065	0
TARA_B100000242	1728	135405	1538	3
TARA_B100000214	3765	90321	1650	0
TARA_B100000212	2342	104263	1304	1
TARA_B100000378	16763	75549	4509	0
TARA_B000000609	2562	96505	4038	2
TARA_B000000565	2361	94084	2658	2
TARA_B000000557	2363	90293	2054	0
TARA_B000000532	2315	65339	2815	2
TARA_B100000405	10123	144893	6936	0
TARA_B100000408	12516	47680	4446	0
TARA_B100000401	7943	171946	6337	3
TARA_B000000441	9695	137081	7792	3
TARA_B000000460	23433	87699	10925	1
TARA_B000000437	3493	54407	3140	0
TARA_B000000477	2191	34373	3065	2
TARA_B000000475	3986	61252	4260	3
TARA_B100000497	665	37268	6365	3
TARA_B100000482	2558	49904	7209	0
TARA_B100000470	20463	89860	14094	0
TARA_B100000475	2138	61254	7520	0
TARA_B100000446	11261	99842	15596	0
TARA_B100000459	2980	35738	9761	2
TARA_B100000427	1266	45663	2140	0
TARA_B100000508	6124	63884	9618	0
TARA_B100000424	1461	73962	9966	0
TARA_B100000519	3936	59874	18975	0
TARA_B100000749	21615	86695	7195	0
TARA_B100000513	992	71726	17767	0
TARA_B100000530	7037	75593	8545	2
TARA_B100000745	14608	63251	6337	0
TARA_B100000524	466	74208	7188	0
TARA_B100000767	4824	149510	15181	0
TARA_B100000768	949	67947	12893	0
TARA_B100000780	11	129232	36458	0
TARA_B100000795	149	123158	36665	0
TARA_B100000809	10644	76573	18865	5
TARA_B100000787	6	157153	19543	0
TARA_B100001059	33	184638	276	0
TARA_B100001063	6	88582	122	0
TARA_B100001057	56	125084	699	1
TARA_B100000989	520	132478	3905	0
TARA_B100001029	1830	67025	2931	0
TARA_B100001013	19856	72344	7252	0
TARA_B100001027	772	69553	3079	0
TARA_B100000886	996	92432	3222	0
TARA_B100000965	2606	96765	2725	0
TARA_B100000959	8110	97249	1168	0
TARA_B100000963	1304	118344	1139	2
TARA_B100000902	3062	105277	1673	1
TARA_B100000953	13293	41080	3601	0
TARA_B100000900	1314	71315	1785	0
TARA_B100000927	1671	73784	2605	0
TARA_B100000929	12404	93078	10168	0
TARA_B100000925	3032	122810	2883	1
TARA_B100001113	9201	114577	6933	5
TARA_B100001079	15458	94288	34580	0
TARA_B100001109	2666	101069	3467	0
TARA_B100000579	3685	104036	3409	0
TARA_B100000586	20652	91205	14125	0
TARA_B100000575	3330	108224	6549	5
TARA_B100000945	2715	97587	7200	0
TARA_B100000949	14752	61843	3055	0
TARA_B100000941	2155	113599	6318	0
TARA_B100000700	3494	85281	4290	0
TARA_B100000678	20352	89013	6076	0
TARA_B100001115	4384	101069	2746	6
TARA_B100000686	16464	95924	4944	0
TARA_B100000683	4419	75999	9960	4
TARA_B100000676	16717	116636	2729	1
TARA_B100000674	3910	134990	4301	3
TARA_B100001123	10432	60991	6026	1
TARA_B100001121	5313	120659	3013	0
TARA_B100000614	3758	69262	3810	1
TARA_B100000609	4944	93575	4552	10
TARA_B100001250	10648	84968	12918	0
TARA_B100001245	15830	89493	15020	0
TARA_B100001248	1763	101280	4680	0
TARA_B100001094	3489	84905	5815	6
TARA_B100001105	29146	90307	21819	0
TARA_B100001093	1762	143303	4346	1
TARA_B100001964	4031	105265	549	0
TARA_B100001971	11678	100196	2552	0
TARA_B100001287	2788	114185	2524	2
TARA_B100001996	4822	59681	5422	0
TARA_B100002003	8240	82892	4874	0
TARA_B100001989	2225	105304	4303	3
TARA_B100002019	1699	111364	2453	0
TARA_B100001939	457	75222	1028	0
TARA_B100002052	8439	88081	4310	0
TARA_B100002049	19148	87557	5457	0
TARA_B100002051	7457	97834	3579	0
TARA_B100001146	19759	73181	16033	1
TARA_B100001142	8971	67839	10713	1
TARA_B100001167	14971	63605	6854	0
TARA_B100001540	11803	98142	6248	0
TARA_B100001741	8223	103839	6584	0
TARA_B100001750	17831	66827	10574	0
TARA_B100001765	21482	81571	7675	1
TARA_B100001758	10842	102204	11361	4
TARA_B100001778	4665	108088	4807	3
TARA_B100001769	4973	112145	7466	10
TARA_B100001559	10017	88522	9291	6
TARA_B100001564	7762	110279	4971	15
TARA_B100001179	18560	83955	4758	0
TARA_B100001175	8645	100140	8510	1
TARA_B100001173	5630	83002	4339	0
TARA_B110000008	4150	84062	7517	0
TARA_B110000014	12159	55735	4813	0
TARA_B110000003	4174	114696	11421	5
TARA_B110001452	4098	62477	9075	2
TARA_B110001454	9393	39273	9469	3
TARA_B110001450	445	100937	11089	0
TARA_B110000196	12107	91994	17925	43
TARA_B110001469	522	192275	27671	1
TARA_B110000046	157	124541	12571	0
TARA_B110000037	915	89293	5041	11
TARA_B110000027	4	114861	5972	0
TARA_B110000093	1094	101653	7085	1
TARA_B110000091	961	131201	4853	5
TARA_B110000090	172	135375	5533	0
TARA_B110000114	11	144847	3886	0
TARA_B110000116	9747	78754	9552	8
TARA_B110000208	17	124407	15440	0
TARA_B110000503	3	102563	10460	0
TARA_B110000211	1576	125343	10058	21
TARA_B110000240	2410	112014	13604	14
TARA_B110000238	230	149482	16983	0
TARA_B110000261	17	106510	16943	0
TARA_B110000263	12767	65290	7952	1
TARA_B110000259	33	121024	12546	1
TARA_B110000285	144	66845	14260	0
TARA_B110000977	8	78176	16219	0
TARA_B110000967	1152	138946	11396	15
TARA_B110000971	45	151150	20209	0
TARA_B110000305	1137	119852	12090	1
TARA_B110000908	650	120634	12300	7
TARA_B110000914	5911	63811	13732	69
TARA_B110000902	1656	142280	16107	2
TARA_B110000881	10203	82756	12872	117
TARA_B110000879	515	126508	3624	5
TARA_B110000495	15873	78730	9784	46
TARA_B110000483	1871	100164	7122	7
TARA_B110000858	186	63950	658	0
TARA_B110000467	15730	69624	6900	18
TARA_B110000459	3204	103588	6926	2
TARA_B110000438	9698	42141	5017	4
TARA_B110000444	3620	69691	4457	2
