	Taxonomy	Function	Expression	Transcriptome
HCO3	0.002997002997003	0.161838161838162	0.692307692307692	0.104895104895105
CO3	0.000999000999000999	1	0.0999000999000999	0.888111888111888
Carbon.total	0.000999000999000999	0.026973026973027	0.51948051948052	0.046953046953047
Alkalinity.total	0.001998001998002	1	0.520479520479521	0.4995004995005
NO2	0.0829170829170829	1	0.253746253746254	0.114885114885115
PO4	0.00899100899100899	0.350649350649351	0.552447552447552	0.028971028971029
NO2NO3	0.051948051948052	1	0.918081918081918	0.0689310689310689
Si	0.158841158841159	0.026973026973027	0.707292707292707	0.023976023976024
Temperature	0.000999000999000999	0.026973026973027	0.000999000999000999	0.000999000999000999
Salinity	0.000999000999000999	0.026973026973027	0.21978021978022	0.000999000999000999
Density	0.000999000999000999	0.107892107892108	0.752247752247752	0.002997002997003
Oxygen	0.000999000999000999	0.026973026973027	0.000999000999000999	0.000999000999000999
NO3	0.00799200799200799	0.512487512487513	0.716283716283716	0.003996003996004
ChlorophyllA	0.000999000999000999	0.026973026973027	0.144855144855145	0.000999000999000999
Fluorescence	0.000999000999000999	0.026973026973027	0.457542457542458	0.04995004995005
PAR.TO	0.023976023976024	0.89010989010989	0.141858141858142	0.021978021978022
Iron.5m	0.841158841158841	1	0.509490509490509	0.915084915084915
Ammonium.5m	0.002997002997003	1	0.781218781218781	0.170829170829171
Gradient.Surface.temp(SST)	0.000999000999000999	0.026973026973027	0.464535464535465	0.01998001998002
Okubo.Weiss	0.676323676323676	1	0.613386613386613	0.521478521478522
Lyapunov	0.000999000999000999	1	0.917082917082917	0.434565434565435
Residence.time	0.682317682317682	1	0.672327672327672	0.866133866133866
Depth.Mixed.Layer	0.018981018981019	0.026973026973027	0.959040959040959	0.026973026973027
Brunt.Väisälä	0.0689310689310689	1	0.789210789210789	0.804195804195804
Depth.Max.O2	0.87012987012987	1	0.280719280719281	0.894105894105894
Depth.Min.O2	0.120879120879121	1	0.598401598401599	0.113886113886114
Nitracline	0.24975024975025	1	0.664335664335664	0.164835164835165
