"GC/OG representative 1"	"GC/OG representative 2"	"Co-expressiom Pearson r"	"Representative 1 type"	"Representative 2 type"	"Representative 2 annotation"
"TARA_037_MES_0.1-0.22_G_scaffold70143_1_gene65708"	"TARA_037_MES_0.1-0.22_G_C20542534_1_gene744013"	0.992136632168789	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20542534_1_gene744013"	"TARA_037_MES_0.1-0.22_G_scaffold70143_1_gene65708"	0.992136632168789	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold122569_1_gene121289"	"TARA_037_MES_0.1-0.22_G_C20614122_1_gene779663"	0.991839648746806	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20614122_1_gene779663"	"TARA_037_MES_0.1-0.22_G_scaffold122569_1_gene121289"	0.991839648746806	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold111629_1_gene144870"	"TARA_037_MES_0.1-0.22_G_scaffold275592_1_gene292213"	0.990675061505924	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold275592_1_gene292213"	"TARA_039_MES_0.1-0.22_G_scaffold111629_1_gene144870"	0.990675061505924	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20696313_1_gene825969"	"TARA_037_MES_0.1-0.22_G_C20685121_1_gene818477"	0.990286288556264	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20685121_1_gene818477"	"TARA_037_MES_0.1-0.22_G_C20696313_1_gene825969"	0.990286288556264	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_C18240432_1_gene570451"	"TARA_137_DCM_0.22-3_G_C14254112_1_gene611399"	0.990169286679467	"GC"	"GC"	NA
"TARA_137_DCM_0.22-3_G_C14254112_1_gene611399"	"TARA_137_MES_0.22-3_G_C18240432_1_gene570451"	0.990169286679467	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold30202_1_gene36821"	"0Z6UH"	0.990019640240267	"GC"	"OG"	"regulatory protein, arsR"
"TARA_037_MES_0.1-0.22_G_C20703351_1_gene832136"	"TARA_037_MES_0.1-0.22_G_C20591362_1_gene768200"	0.989656132075848	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20591362_1_gene768200"	"TARA_037_MES_0.1-0.22_G_C20703351_1_gene832136"	0.989656132075848	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold290368_1_gene317502"	"TARA_037_MES_0.1-0.22_G_scaffold70143_1_gene65708"	0.989255904325788	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20668695_1_gene809061"	"TARA_137_DCM_0.22-3_G_C14254112_1_gene611399"	0.989209684941452	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold61798_2_gene57042"	"TARA_037_MES_0.1-0.22_G_scaffold343896_2_gene453773"	0.989205675447158	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold343896_2_gene453773"	"TARA_037_MES_0.1-0.22_G_scaffold61798_2_gene57042"	0.989205675447158	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold313667_1_gene362297"	"TARA_037_MES_0.1-0.22_G_scaffold284739_2_gene307713"	0.988579674147977	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold284739_2_gene307713"	"TARA_037_MES_0.1-0.22_G_scaffold313667_1_gene362297"	0.988579674147977	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold106497_1_gene135263"	"TARA_037_MES_0.1-0.22_G_scaffold275592_1_gene292213"	0.988085345294173	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold328062_1_gene395503"	"TARA_037_MES_0.1-0.22_G_scaffold286519_1_gene310784"	0.987863297447232	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold286519_1_gene310784"	"TARA_037_MES_0.1-0.22_G_scaffold328062_1_gene395503"	0.987863297447232	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold337740_1_gene425601"	"TARA_037_MES_0.1-0.22_G_C20567886_1_gene756459"	0.987815508929938	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20567886_1_gene756459"	"TARA_037_MES_0.1-0.22_G_scaffold337740_1_gene425601"	0.987815508929938	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20512548_1_gene729575"	"TARA_037_MES_0.1-0.22_G_scaffold313667_1_gene362297"	0.987683923684097	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold94045_1_gene91689"	"TARA_037_MES_0.1-0.22_G_C20641572_1_gene794238"	0.987592330387536	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20641572_1_gene794238"	"TARA_037_MES_0.1-0.22_G_scaffold94045_1_gene91689"	0.987592330387536	"GC"	"GC"	NA
